"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","Ms5","SDs5","M5","SD5","Num6","Str6","Ms6","SDs6","M6","SD6","Num7","Str7","Ms7","SDs7","M7","SD7","Num8","Str8","Ms8","SDs8","M8","SD8","Num9","Str9","M9","SD9","Num10","Str10","M10","SD10","Num11","Str11","M11","SD11","Num12","Str12","M12","SD12","Num13","Str13","M13","SD13","Num14","Str14","M14","SD14","Num15","Str15","M15","SD15","Num16","Str16","M16","SD16","Num17","Str17","M17","SD17","Num18","Str18","M18","SD18","Num19","Str19","M19","SD19","Num20","Str20","M20","SD20","Num21","Str21","M21","SD21","Num22","Str22","M22","SD22","Num23","Str23","M23","SD23","Num24","Str24","M24","SD24","Num25","Str25","M25","SD25","Num26","Str26","M26","SD26"
1,0,0,16,1,"B",1,"a c e",0,1,-0.128478996811049,1.00021103645262,2,"b c e",0,1,0.263530673871594,1.54175666565498,3,"a d e",0,1,-0.291376494364595,1.29893129034598,4,"b d e",0,1,-0.181175851179163,1.32290800936917,5,"a c f",0,1,0.17109715111308,1.67680375195464,6,"b c f",0,1,-0.00812868962963764,1.09079959218015,7,"a d f",0,1,-0.0317434779404929,0.893477107832747,8,"b d f",0,1,-0.555693451395725,2.05784501864358,9,"a,c",0.0213090771510157,1.36664601272961,10,"b,c",0.127700992120978,1.32096312583272,11,"a,d",-0.161559986152544,1.10456723410859,12,"b,d",-0.368434651287444,1.71232989070933,13,"a,e",-0.209927745587822,1.143381430654,14,"b,e",0.0411774113462155,1.43109026120908,15,"a,f",0.0696768365862936,1.32566157602004,16,"b,f",-0.281911070512681,1.6438268236675,17,"c,e",0.0675258385302727,1.29379298162378,18,"d,e",-0.236276172771879,1.2908708604417,19,"c,f",0.0814842307417212,1.39445553959315,20,"d,f",-0.293718464668109,1.58309212070851,21,"a",-0.070125454500764,1.23607514136335,22,"b",-0.120366829583233,1.53749922438376,23,"c",0.0745050346359969,1.33436697942805,24,"d",-0.264997318719994,1.43317368624182,25,"e",-0.084375167120803,1.29114452844415,26,"f",-0.106117116963194,1.49190262753761
2,0,0,40,1,"B",1,"a c e",0,1,-0.119985475646543,1.14362771273053,2,"b c e",0,1,0.207126403091429,1.6484051979673,3,"a d e",0,1,0.0769347896209618,1.34980609647568,4,"b d e",0,1,-0.285834711004409,1.25637259268005,5,"a c f",0,1,0.109258989759294,1.26962237953746,6,"b c f",0,1,0.191504666573958,1.67381860587834,7,"a d f",0,1,-0.145251643973277,1.34674129064657,8,"b d f",0,1,-0.284233069349468,1.63534745010357,9,"a,c",-0.00536324294362408,1.20612491976589,10,"b,c",0.199315534832694,1.65063205858621,11,"a,d",-0.0341584271761577,1.34437031377436,12,"b,d",-0.285033890176939,1.4489653790224,13,"a,e",-0.0215253430127903,1.24697164661958,14,"b,e",-0.0393541539564897,1.47722358867812,15,"a,f",-0.0179963271069914,1.3067303082687,16,"b,f",-0.0463642013877551,1.66152171436603,17,"c,e",0.0435704637224433,1.41921658395944,18,"d,e",-0.104449960691723,1.30844157572987,19,"c,f",0.150381828166626,1.47667975923478,20,"d,f",-0.214742356661373,1.49014135259001,21,"a",-0.0197608350598909,1.27317907126539,22,"b",-0.0428591776721224,1.56712820062304,23,"c",0.0969761459445348,1.4446655153796,24,"d",-0.159596158676548,1.39891531322915,25,"e",-0.03043974848464,1.36267820902565,26,"f",-0.0321802642473733,1.49005059095747
3,0,0,16,1,"B",1,"a c e",0,1,0.448148386708698,1.21311155572419,2,"b c e",0,1,0.262066860335229,0.706990540540973,3,"a d e",0,1,-0.463559853845483,1.3899116536828,4,"b d e",0,1,0.520598421575832,1.50187099565272,5,"a c f",0,1,-0.147854655164318,0.890525237259346,6,"b c f",0,1,-0.469254943015638,0.800184663212833,7,"a d f",0,1,0.075433003449253,1.00041021544224,8,"b d f",0,1,0.0154537242271757,1.14816697764994,9,"a,c",0.15014686577219,1.08971555447764,10,"b,c",-0.103594041340204,0.830480223207123,11,"a,d",-0.194063425198115,1.22229598158791,12,"b,d",0.268026072901504,1.33983542278106,13,"a,e",-0.00770573356839276,1.36431604159879,14,"b,e",0.39133264095553,1.16212389302906,15,"a,f",-0.0362108258575327,0.938542040034371,16,"b,f",-0.226900609394231,1.00415722155937,17,"c,e",0.355107623521963,0.981262184906464,18,"d,e",0.0285192838651741,1.50869098866913,19,"c,f",-0.308554799089978,0.848648746856988,20,"d,f",0.0454433638382144,1.05975347448833,21,"a",-0.0219582797129627,1.16170238200974,22,"b",0.0822160157806496,1.12150813532304,23,"c",0.0232764122159927,0.969557666139844,24,"d",0.0369813238516942,1.29333202317775,25,"e",0.191813453693569,1.27314323136524,26,"f",-0.131555717625882,0.96893642377394
4,0,0,8,1,"B",1,"a c e",0,1,-0.897261568834966,1.80875891244235,2,"b c e",0,1,0.500201306856893,1.3698279795702,3,"a d e",0,1,-0.500174860946685,1.31757904727895,4,"b d e",0,1,0.00912067288587319,1.14485085995293,5,"a c f",0,1,-0.162108267011923,0.729482489218409,6,"b c f",0,1,-0.544701793421347,1.87703994523861,7,"a d f",0,1,-0.434254066758605,1.49042186636638,8,"b d f",0,1,0.812990091582988,1.58374636049265,9,"a,c",-0.529684917923445,1.3853537706217,10,"b,c",-0.0222502432822267,1.67660855108017,11,"a,d",-0.467214463852645,1.35938675888374,12,"b,d",0.411055382234431,1.39803138616715,13,"a,e",-0.698718214890825,1.54238073247179,14,"b,e",0.254660989871383,1.24564377070075,15,"a,f",-0.298181166885264,1.14224246223571,16,"b,f",0.134144149080821,1.81831477750126,17,"c,e",-0.198530130989036,1.70973433480992,18,"d,e",-0.245527094030406,1.22104911243492,19,"c,f",-0.353405030216635,1.38980758458344,20,"d,f",0.189368012412192,1.61925375983067,21,"a",-0.498449690888045,1.35048715118654,22,"b",0.194402569476102,1.53438702665717,23,"c",-0.275967580602836,1.53468751828518,24,"d",-0.0280795408091071,1.42791552490741,25,"e",-0.222028612509721,1.4616600833318,26,"f",-0.0820185089022217,1.50975364920378
5,0,0,40,1,"B",1,"a c e",0,1,-0.234644104256227,1.30381166847582,2,"b c e",0,1,0.568113829219378,1.33191819225921,3,"a d e",0,1,-0.14291914597685,1.46795034731112,4,"b d e",0,1,0.230043747432623,1.53023804318806,5,"a c f",0,1,-0.140364067186374,1.42941652661749,6,"b c f",0,1,-0.201277289061679,1.40864083262491,7,"a d f",0,1,-0.456253106945822,1.47093383716713,8,"b d f",0,1,-0.0920786784316412,1.39523687706413,9,"a,c",-0.187504085721301,1.36019766327542,10,"b,c",0.18341827007885,1.41605612704305,11,"a,d",-0.299586126461336,1.46859970274881,12,"b,d",0.068982534500491,1.46399626136749,13,"a,e",-0.188781625116539,1.38026593397741,14,"b,e",0.399078788326001,1.43551505621042,15,"a,f",-0.298308587066098,1.44985358555649,16,"b,f",-0.14667798374666,1.39413658835004,17,"c,e",0.166734862481575,1.37044625720194,18,"d,e",0.0435623007278864,1.50166906021372,19,"c,f",-0.170820678124027,1.41038971132139,20,"d,f",-0.274165892688732,1.43621963276197,21,"a",-0.243545106091318,1.41209820732037,22,"b",0.12620040228967,1.43683641430371,23,"c",-0.00204290782122554,1.39648299066728,24,"d",-0.115301795980423,1.47332519859688,25,"e",0.105148581604731,1.4343590576835,26,"f",-0.222493285406379,1.41982672578698
6,0,0,32,1,"B",1,"a c e",0,1,0.0708436126038541,1.69118380103475,2,"b c e",0,1,-0.0839077896984307,1.19318652578524,3,"a d e",0,1,-0.0610110642373222,1.81026878773872,4,"b d e",0,1,-0.406111055541635,1.22499608838219,5,"a c f",0,1,-0.26024990357636,1.81817850911941,6,"b c f",0,1,0.302443613757384,1.65329810996776,7,"a d f",0,1,0.29610822684306,1.95943322525734,8,"b d f",0,1,-0.013350213852248,1.31043433135485,9,"a,c",-0.0947031454862528,1.74981230104692,10,"b,c",0.109267912029477,1.44341982039968,11,"a,d",0.117548581302869,1.87992970191177,12,"b,d",-0.209730634696941,1.27379969902532,13,"a,e",0.00491627418326598,1.73905017958364,14,"b,e",-0.245009422620033,1.21050057643883,15,"a,f",0.0179291616333501,1.8959114373102,16,"b,f",0.144546699952568,1.48839547120652,17,"c,e",-0.00653208854728828,1.4539539233347,18,"d,e",-0.233561059889478,1.54310472222665,19,"c,f",0.0210968550905123,1.74701642983904,20,"d,f",0.141379006495406,1.66088210525665,21,"a",0.011422717908308,1.81200782219502,22,"b",-0.0502313613337322,1.36530688988507,23,"c",0.00728238327161202,1.60089905292725,24,"d",-0.0460910266970362,1.60780517349462,25,"e",-0.120046574218383,1.49762032551605,26,"f",0.0812379307929592,1.6988428280541
7,0,0,24,1,"B",1,"a c e",0,1,-0.0449211938600611,1.85855822500989,2,"b c e",0,1,0.145262825887798,1.15436804904862,3,"a d e",0,1,0.575932073859777,1.29819304304936,4,"b d e",0,1,0.19162261547665,1.60348350623796,5,"a c f",0,1,0.133790876837454,1.06606100227551,6,"b c f",0,1,-0.00380107460952492,1.81651516456471,7,"a d f",0,1,0.489683420110989,1.59696696941001,8,"b d f",0,1,-0.0961532064349117,1.59860104990828,9,"a,c",0.0444348414886963,1.5015589415743,10,"b,c",0.0707308756391367,1.50749459672021,11,"a,d",0.532807746985383,1.44036243641214,12,"b,d",0.0477347045208693,1.59058082880797,13,"a,e",0.265505439999858,1.61663568425989,14,"b,e",0.168442720682224,1.38234663688809,15,"a,f",0.311737148474222,1.35517977101694,16,"b,f",-0.0499771405222183,1.69337355703232,17,"c,e",0.0501708160138686,1.53352977418031,18,"d,e",0.383777344668213,1.45624852734111,19,"c,f",0.0649949011139643,1.47504119542587,20,"d,f",0.196765106838039,1.60817405016005,21,"a",0.28862129423704,1.48395767008877,22,"b",0.059232790080003,1.54146067564274,23,"c",0.0575828585639165,1.49664853174481,24,"d",0.290271225753126,1.5288898368388,25,"e",0.216974080341041,1.49691819078944,26,"f",0.130880003976002,1.53632961639419
8,0,0,8,1,"B",1,"a c e",0,1,-0.27437139529502,1.21754752653157,2,"b c e",0,1,0.0451534803543424,1.42390473619483,3,"a d e",0,1,0.762417883645024,2.2681946645,4,"b d e",0,1,-1.65948876230271,3.52211476461135,5,"a c f",0,1,-0.431004833118009,1.74329415334999,6,"b c f",0,1,-0.285850041127917,1.01604658172786,7,"a d f",0,1,-0.131294805838346,0.947245084281984,8,"b d f",0,1,0.671966906950563,0.48577789017544,9,"a,c",-0.352688114206515,1.45484504390557,10,"b,c",-0.120348280386788,1.20712442890607,11,"a,d",0.315561538903339,1.74143143200669,12,"b,d",-0.493760927676072,2.71086271835504,13,"a,e",0.244023244175002,1.83828962432848,14,"b,e",-0.807167640974182,2.74047198479584,15,"a,f",-0.281149819478178,1.36415391813418,16,"b,f",0.193058432911323,0.91462082955633,17,"c,e",-0.114608957470339,1.29042296230044,18,"d,e",-0.448535439328842,3.12316637794467,19,"c,f",-0.358427437122963,1.38044089053622,20,"d,f",0.270336050556108,0.837205326264634,21,"a",-0.0185632876515878,1.61454901126833,22,"b",-0.30705460403143,2.07290031357563,23,"c",-0.236518197296651,1.32028475321352,24,"d",-0.0890996943863667,2.27865569092622,25,"e",-0.28157219839959,2.35675042714734,26,"f",-0.0440456932834275,1.16758221850943
9,0,0,24,1,"B",1,"a c e",0,1,0.0170785895619395,1.41957780720138,2,"b c e",0,1,0.191428292493873,1.21351586397045,3,"a d e",0,1,0.048500120269625,1.01321879141044,4,"b d e",0,1,-0.771105139186354,1.15415561380734,5,"a c f",0,1,0.583059479629268,1.25081257228853,6,"b c f",0,1,0.043327084482204,1.4463985415266,7,"a d f",0,1,0.169253532199781,1.43694015640051,8,"b d f",0,1,-0.23222874012448,1.17351267489202,9,"a,c",0.300069034595604,1.35409447621313,10,"b,c",0.117377688488038,1.32288422768773,11,"a,d",0.108876826234703,1.23147888331007,12,"b,d",-0.501666939655417,1.18318375399688,13,"a,e",0.0327893549157822,1.22016355339278,14,"b,e",-0.289838423346241,1.2684858937484,15,"a,f",0.376156505914524,1.34899011667103,16,"b,f",-0.0944508278211379,1.3103742290556,17,"c,e",0.104253441027906,1.30941498705713,18,"d,e",-0.361302509458365,1.15141768194035,19,"c,f",0.313193282055736,1.36520243869231,20,"d,f",-0.0314876039623493,1.31358388629494,21,"a",0.204472930415153,1.29099135839881,22,"b",-0.192144625583689,1.28654852176705,23,"c",0.208723361541821,1.33467902704925,24,"d",-0.196395056710357,1.23977985415226,25,"e",-0.128524534215229,1.2485669246388,26,"f",0.140852839046693,1.34378684552233
10,0,0,8,1,"B",1,"a c e",0,1,0.0225830824406947,1.19380955083359,2,"b c e",0,1,0.0263561754284049,1.31031933422072,3,"a d e",0,1,-0.205084567404171,0.775623068582734,4,"b d e",0,1,0.814199206831592,1.54143932487358,5,"a c f",0,1,-0.0294389135411239,0.714499512814013,6,"b c f",0,1,-0.813866259114781,1.54470930705448,7,"a d f",0,1,-0.403508220860537,1.06965480971401,8,"b d f",0,1,-0.0410336210226809,0.745817863723085,9,"a,c",-0.00342791555021459,0.950812310065257,10,"b,c",-0.393755041843188,1.45018022246828,11,"a,d",-0.304296394132354,0.90839623073627,12,"b,d",0.386582792904456,1.25037725256993,13,"a,e",-0.091250742481738,0.979616828234315,14,"b,e",0.420277691129999,1.4406847959175,15,"a,f",-0.21647356720083,0.899718776322325,16,"b,f",-0.427449940068731,1.23789280769233,17,"c,e",0.0244696289345498,1.21091929139206,18,"d,e",0.304557319713711,1.29097229526617,19,"c,f",-0.421652586327952,1.23119886890029,20,"d,f",-0.222270920941609,0.910252390884342,21,"a",-0.153862154841284,0.927406914658477,22,"b",-0.00358612446936617,1.3896902226343,23,"c",-0.198591478696701,1.22243600034743,24,"d",0.0411431993860509,1.13091337900301,25,"e",0.16451347432413,1.23942778000591,26,"f",-0.321961753634781,1.06988355465742
