"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,40,"within","1","5","a","6","b",117,117.000000000001,117,1.96215504886171,-0.36152265593798,1.96215504886171,0.0521187440961535,0.718360813971011,0.0521187440961535,0.246740261949014
1,40,"within","2","7","c","8","d",117,117.000000000001,117,0.338547304703964,0.930252768220306,0.338547304703964,0.735557573663489,0.354155645881159,0.735557573663489,0.83098785486787
1,40,"within","3","1","a c","2","b c",117,117.000000000001,117,4.7507311063444,-0.544571530377039,5.10008180907682,5.80716567676285e-06,0.587084672734509,1.32343000472146e-06,0.0199879353131109
1,40,"within","4","1","a c","3","a d",117,117.000000000001,117,-0.870967369496473,0.368851631815414,3.03817634965403,0.385555561513813,0.712904937299268,0.00293596582471396,0.0278362661265419
1,40,"within","5","1","a c","4","b d",117,117.000000000001,117,-0.341288154191408,0.402152919059819,2.115253595501,0.733498816484706,0.688305219425856,0.0365297997098609,0.288657849785523
1,40,"within","6","2","b c","3","a d",117,117.000000000001,117,-5.62169847584087,0.913423162192453,2.06190545942279,1.30506913902596e-07,0.362898480530024,0.0414315091930546,0.253491679095532
1,40,"within","7","2","b c","4","b d",117,117.000000000001,117,-5.09201926053581,0.946724449436858,-2.98482821357582,1.37031874417334e-06,0.345730402314874,0.00345541750575127,0.066160616266643
1,40,"within","8","3","a d","4","b d",117,117.000000000001,117,0.529679215305065,0.0333012872444055,-0.922922754153023,0.597338028089151,0.973491072080876,0.357946829835222,0.294816960666139
2,16,"within","9","5","a","6","b",44.9999999999998,44.9999999999998,44.9999999999998,0.484173286143775,0.533200081294416,0.484173286143775,0.630611047004225,0.596518824485017,0.630611047004225,0.359537847340107
2,16,"within","10","7","c","8","d",45.0000000000001,44.9999999999998,45.0000000000001,0.14798042613396,1.45054313045269,0.14798042613396,0.883019312367948,0.153842303103203,0.883019312367948,0.875446002930403
2,16,"within","11","1","a c","2","b c",45.0000000000001,44.9999999999998,45,-0.306977120891758,-0.1516066823975,0.295529208223458,0.760276876815259,0.880174809602037,0.768949033687989,0.4637451171875
2,16,"within","12","1","a c","3","a d",45.0000000000001,44.9999999999998,45,-2.46604953783045,0.497052808336661,-0.247863206897094,0.0175376524643683,0.621571674514375,0.805367800190994,0.979949951171875
2,16,"within","13","1","a c","4","b d",45.0000000000001,44.9999999999998,45,-2.9162826484717,1.40271827715916,0.753122820956555,0.00550680871058785,0.167562732850329,0.455298346044288,0.632171630859375
2,16,"within","14","2","b c","3","a d",45,44.9999999999998,45,-2.1590724169387,0.648659490734161,0.543392415120552,0.0362135786564503,0.519855197153955,0.589541537696231,1
2,16,"within","15","2","b c","4","b d",45,44.9999999999998,45,-2.60930552757994,1.55432495955666,0.457593612733097,0.0122737930515738,0.127112535403774,0.649446227437281,0.820892333984375
2,16,"within","16","3","a d","4","b d",45,44.9999999999998,45,-0.450233110641245,0.905665468822501,1.00098602785365,0.654704025282798,0.369936742433438,0.322185958391963,0.49542236328125
3,8,"within","17","5","a","6","b",21,21,21,-2.91123506217121,-2.26932509501953,-2.91123506217121,0.0083494189095658,0.0339066332809851,0.0083494189095658,0.001007080078125
3,8,"within","18","7","c","8","d",21,21,21,-0.595619863770928,-1.1695838715773,-0.595619863770928,0.557794526014648,0.255272518787124,0.557794526014648,0.021392822265625
3,8,"within","19","1","a c","2","b c",21,21,21,2.46856733675475,-2.10308931797473,-3.61586016436273,0.022234899283836,0.0476900952831998,0.00162149194062741,0.0546875
3,8,"within","20","1","a c","3","a d",21,21,21,1.37534465904908,-1.32545484132834,-1.85202593784432,0.183519988785045,0.199260342847112,0.0781334220694298,0.109375
3,8,"within","21","1","a c","4","b d",21,21,21,4.05550348181138,-2.43167585016384,-6.5261866381181,0.000569006820237162,0.0240657295601839,1.82577091658033e-06,0.0078125
3,8,"within","22","2","b c","3","a d",21,21,21,-1.09322267770568,0.777634476646389,-1.7638342265184,0.286678578474297,0.445457474699006,0.0923044830286609,0.25
3,8,"within","23","2","b c","4","b d",21,21,21,1.58693614505663,-0.328586532189111,-2.91032647375537,0.127470895827229,0.745722326749135,0.00836663526220978,0.1953125
3,8,"within","24","3","a d","4","b d",21,21,21,2.6801588227623,-1.1062210088355,-4.67416070027377,0.014012242839382,0.281142910004325,0.000129807906602198,0.0078125
4,8,"within","25","5","a","6","b",21,21,21,0.599223376767673,1.14765549787472,0.599223376767673,0.555434119224957,0.264017650014213,0.555434119224957,0.433197021484375
4,8,"within","26","7","c","8","d",21,21,21,0.42637374700313,1.2211549900921,0.42637374700313,0.674174327802043,0.23556072467394,0.674174327802043,0.348388671875
4,8,"within","27","1","a c","2","b c",21,21,21,-2.64518904322038,-0.0426418375194396,0.218822893048418,0.0151366509821817,0.966389893575539,0.828900708948909,0.9453125
4,8,"within","28","1","a c","3","a d",21,21,21,-2.676679388973,0.00933015184123378,0.683821540776306,0.0141204788988617,0.992643792884871,0.501564498968671,0.640625
4,8,"within","29","1","a c","4","b d",21,21,21,-3.7473511445622,1.67500195938715,1.8326417292805,0.0011867390654712,0.108762409124986,0.0810744239409689,0.0234375
4,8,"within","30","2","b c","3","a d",21,21,21,-0.0314903457526233,0.0519719893606734,-0.464998647727888,0.975175867669479,0.959042220476136,0.646717990380462,0.4609375
4,8,"within","31","2","b c","4","b d",21,21,21,-1.10216210134182,1.71764379690659,1.61381883623208,0.282863083865146,0.100574034625385,0.12149361915112,0.25
4,8,"within","32","3","a d","4","b d",21,21,21,-1.0706717555892,1.66567180754592,1.14882018850419,0.296468896636648,0.110627635256254,0.263547658180795,0.1953125
5,24,"within","33","5","a","6","b",68.9999999999999,68.9999999999999,68.9999999999999,0.347505158929962,-1.02714530034603,0.347505158929962,0.729269640706065,0.307939427610732,0.729269640706065,0.400846068449425
5,24,"within","34","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,-0.480433017574832,-0.657189259301834,-0.480433017574832,0.632439251148735,0.513245467441288,0.632439251148735,0.479392677626955
5,24,"within","35","1","a c","2","b c",69.0000000000002,68.9999999999999,68.9999999999996,4.94729558089609,0.266480102484785,1.20885777485223,5.09650645990185e-06,0.79066422286473,0.230843714645036,0.120840191841126
5,24,"within","36","1","a c","3","a d",69.0000000000002,68.9999999999999,68.9999999999996,2.27615764209022,0.528078527848063,-0.242986487407483,0.0259438338026456,0.599139123763781,0.808736755825691,0.527059078216553
5,24,"within","37","1","a c","4","b d",69.0000000000002,68.9999999999999,68.9999999999999,5.76403449952847,-1.19100438891386,1.34250034292634,2.10760831340651e-07,0.237732879778036,0.183834079437903,0.855335712432862
5,24,"within","38","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999996,-2.67113793880588,0.261598425363277,1.45184426225971,0.00942180486706297,0.794410369617404,0.151076883186297,0.276815414428711
5,24,"within","39","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,0.816738918632373,-1.45748449139865,0.133642568074116,0.416888637957541,0.149519069349258,0.894074243827944,0.663443565368653
5,24,"within","40","3","a d","4","b d",69.0000000000002,68.9999999999999,68.9999999999999,3.48787685743825,-1.71908291676192,1.58548683033383,0.000851947665925889,0.0900828774595517,0.117428485169298,0.789837837219239
6,8,"within","41","5","a","6","b",21,21,21,-6.36321900755164,-3.25677783499741,-6.36321900755164,2.61738906144598e-06,0.00377140887880687,2.61738906144598e-06,9.1552734375e-05
6,8,"within","42","7","c","8","d",21,21,21,-0.857868473686535,-1.22355571953558,-0.857868473686535,0.400650404812431,0.234672012051033,0.400650404812431,0.433197021484375
6,8,"within","43","1","a c","2","b c",21,21,21,2.42803394485316,-2.14435667853612,-2.68934790814968,0.0242538749477829,0.0438616312266966,0.0137301551928031,0.0234375
6,8,"within","44","1","a c","3","a d",21,21,21,2.6770630674022,-0.706651533034598,1.63124381313997,0.0141085049973404,0.487550486366543,0.117746161731318,0.4609375
6,8,"within","45","1","a c","4","b d",21,21,21,2.11674754166685,-3.1680742383879,-5.11416979254692,0.0463908462244447,0.00463404023311452,4.57959400451367e-05,0.015625
6,8,"within","46","2","b c","3","a d",21,21,21,0.249029122549042,1.43770514550152,-4.32059172128964,0.805757693953057,0.165253041044609,0.000301857795542026,0.015625
