"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","M5","SD5","Num6","Str6","M6","SD6","Num7","Str7","M7","SD7","Num8","Str8","M8","SD8","offsetSd","offsetProp"
1,0,0,24,1,"W",1,"a c",0,1,1.58533257365635,1.47902822441301,2,"b c",0,1,1.88855019010347,2.40993702081843,3,"a d",0,1,1.72387377666548,1.76396681371017,4,"b d",0,1,2.48450036992437,3.50040026145104,5,"a",1.65460317516092,1.61185569264745,6,"b",2.18652528001392,2.98811704532901,7,"c",1.73694138187991,1.98395517564906,8,"d",2.10418707329492,2.76883643549988,0.5,0.5
2,0,0,24,1,"W",1,"a c",0,1,2.68855461737586,4.53628141917312,2,"b c",0,1,3.69319876228725,8.58768714338634,3,"a d",0,1,2.53118672785888,3.77501385293254,4,"b d",0,1,2.07055671678593,2.52122225024749,5,"a",2.60987067261737,4.12917612208556,6,"b",2.88187773953659,6.31447011805314,7,"c",3.19087668983156,6.81302689750364,8,"d",2.30087172232241,3.18411569025511,0.9,0.9
3,0,0,16,1,"W",1,"a c",0,1,1.66242853465413,2.15486985853614,2,"b c",0,1,1.69182666368579,1.77437674241638,3,"a d",0,1,1.70821682341021,1.94006330356138,4,"b d",0,1,0.96384469907932,0.703834907484767,5,"a",1.68532267903217,2.01707564170296,6,"b",1.32783568138255,1.37836518338342,7,"c",1.67712759916996,1.94177394758205,8,"d",1.33603076124477,1.48455659566972,0.1,0.1
4,0,0,40,1,"W",1,"a c",0,1,1.83867408223456,2.20716070971638,2,"b c",0,1,1.48850520065706,1.41154468427632,3,"a d",0,1,1.79882060504326,2.28647446342772,4,"b d",0,1,1.72676645112171,2.09905525807998,5,"a",1.81874734363891,2.23298969975963,6,"b",1.60763582588939,1.78132553398651,7,"c",1.66358964144581,1.84921817173479,8,"d",1.76279352808249,2.1811324880646,0.5,0.5
5,0,0,24,1,"W",1,"a c",0,1,1.42965568513062,1.36868446786875,2,"b c",0,1,2.31595469216341,3.38303454876593,3,"a d",0,1,1.58687045313378,1.83504606736143,4,"b d",0,1,1.92356380926218,3.85893711045259,5,"a",1.5082630691322,1.60340393474279,6,"b",2.11975925071279,3.59545508028099,7,"c",1.87280518864702,2.59190790470902,8,"d",1.75521713119798,2.99401001967996,0.9,0.9
6,0,0,40,1,"W",1,"a c",0,1,1.41175215934435,1.36801226283096,2,"b c",0,1,1.66341236446486,1.92123761642868,3,"a d",0,1,1.4326969069239,1.34669817842642,4,"b d",0,1,1.55052371414917,1.6963655008253,5,"a",1.42222453313413,1.34881974434148,6,"b",1.60696803930702,1.80168157284028,7,"c",1.53758226190461,1.66196660558481,8,"d",1.49161031053654,1.52297380264769,0.1,0.1
7,0,0,32,1,"W",1,"a c",0,1,1.51862757554799,1.76305151482695,2,"b c",0,1,2.23226750574053,3.39366906259988,3,"a d",0,1,2.04178899598822,2.19408529948199,4,"b d",0,1,1.65783959747622,1.56405423944096,5,"a",1.7802082857681,1.99193753987795,6,"b",1.94505355160837,2.6371593520478,7,"c",1.87544754064426,2.70664690956095,8,"d",1.84981429673222,1.89998842592417,0.5,0.5
8,0,0,40,1,"W",1,"a c",0,1,3.00500678360985,6.86252106269745,2,"b c",0,1,2.16894942386012,4.39029988239917,3,"a d",0,1,2.35469878067876,6.48862463017476,4,"b d",0,1,4.92946592240594,17.6289608104855,5,"a",2.6798527821443,6.64385064698626,6,"b",3.54920767313303,12.8400844505391,7,"c",2.58697810373499,5.7394570879806,8,"d",3.64208235154235,13.2622078282,0.9,0.9
9,0,0,8,1,"W",1,"a c",0,1,1.6770996697571,1.29513291446199,2,"b c",0,1,1.54521355929586,0.969424542859852,3,"a d",0,1,2.15051210798745,2.59459755419317,4,"b d",0,1,1.55710501686395,0.577691403690545,5,"a",1.91380588887227,1.99602300399437,6,"b",1.55115928807991,0.770936432417584,7,"c",1.61115661452648,1.10723825371908,8,"d",1.8538085624257,1.84152427237229,0.1,0.1
10,0,0,8,1,"W",1,"a c",0,1,1.05480357336432,1.10418650463496,2,"b c",0,1,1.37225954007719,0.987749283072048,3,"a d",0,1,0.883276626912614,0.473747521014593,4,"b d",0,1,1.79566545362973,2.21628458345452,5,"a",0.969040100138468,0.825563961916711,6,"b",1.58396249685346,1.67192608046324,7,"c",1.21353155672076,1.02525601829649,8,"d",1.33947104027117,1.61831789139531,0.5,0.5
11,0,0,24,1,"W",1,"a c",0,1,1.28289779874052,1.79059199918072,2,"b c",0,1,3.37960098832529,5.85015647240224,3,"a d",0,1,2.6916742660737,5.70219859751719,4,"b d",0,1,1.99927296532227,2.49625306546277,5,"a",1.98728603240711,4.24114960915294,6,"b",2.68943697682378,4.50376366990977,7,"c",2.3312493935329,4.40902515336763,8,"d",2.34547361569798,4.36845326251765,0.9,0.9
12,0,0,24,1,"W",1,"a c",0,1,1.19587071027034,0.833216010753863,2,"b c",0,1,1.59194274981161,2.34745143162139,3,"a d",0,1,2.02519177503007,1.92315851726937,4,"b d",0,1,2.76602757143509,5.10912471215741,5,"a",1.6105312426502,1.52488155112555,6,"b",2.17898516062335,3.97774774193749,7,"c",1.39390673004097,1.75397633992162,8,"d",2.39560967323258,3.83717819161052,0.1,0.1
13,0,0,32,1,"W",1,"a c",0,1,1.72640321985437,1.98013431154436,2,"b c",0,1,1.60698286333961,1.91112639002556,3,"a d",0,1,3.06688903583672,5.35529688743924,4,"b d",0,1,1.79305854305241,2.24627405364794,5,"a",2.39664612784554,4.06173524482645,6,"b",1.70002070319601,2.07095052872307,7,"c",1.66669304159699,1.93136843758648,8,"d",2.42997378944456,4.12394443284565,0.5,0.5
14,0,0,8,1,"W",1,"a c",0,1,2.41394065471782,3.70468051345353,2,"b c",0,1,2.45703317398193,3.6810214905217,3,"a d",0,1,2.5487004106495,2.72706822085684,4,"b d",0,1,0.966462653045265,0.602607632119171,5,"a",2.48132053268366,3.14328439993438,6,"b",1.7117479135136,2.66181126447559,7,"c",2.43548691434987,3.56772071313493,8,"d",1.75758153184738,2.07547849202416,0.9,0.9
15,0,0,16,1,"W",1,"a c",0,1,1.31401920554071,1.57904145074767,2,"b c",0,1,1.05637600835645,0.857356485579028,3,"a d",0,1,1.00138568158944,0.565847581667702,4,"b d",0,1,2.32490691122212,2.20415315155988,5,"a",1.15770244356508,1.17754869216854,6,"b",1.69064145978929,1.7668418526052,7,"c",1.18519760694858,1.25669203293098,8,"d",1.66314629640578,1.71981606837687,0.1,0.1
16,0,0,32,1,"W",1,"a c",0,1,1.37776491713108,1.64438939251693,2,"b c",0,1,2.48599232043912,4.06692182839054,3,"a d",0,1,1.67057296704206,1.60146626816364,4,"b d",0,1,2.31742396674265,3.14755998415867,5,"a",1.52416894208657,1.61688420733926,6,"b",2.40170814359088,3.60843641558135,7,"c",1.9318786187851,3.12747843621256,8,"d",1.99399846689235,2.49863877027818,0.5,0.5
17,0,0,32,1,"W",1,"a c",0,1,2.580819181316,5.66941358247339,2,"b c",0,1,2.55596039160728,4.65917616828157,3,"a d",0,1,2.27902964423863,3.56988286327522,4,"b d",0,1,1.60217867292165,1.76417618523711,5,"a",2.42992441277732,4.70213218373825,6,"b",2.07906953226447,3.52762935514626,7,"c",2.56838978646164,5.1476073165398,8,"d",1.94060415858014,2.81401778846699,0.9,0.9
18,0,0,24,1,"W",1,"a c",0,1,1.70159068742957,1.52545720456582,2,"b c",0,1,1.53467346394597,1.3172392660303,3,"a d",0,1,2.8540087217223,6.64926784272243,4,"b d",0,1,1.14172148081118,1.38832943193714,5,"a",2.27779970457594,4.80768844805042,6,"b",1.33819747237857,1.3534214069909,7,"c",1.61813207568777,1.41243363657639,8,"d",1.99786510126674,4.82988970542562,0.1,0.1
19,0,0,40,1,"W",1,"a c",0,1,1.27515618489645,1.16851325865102,2,"b c",0,1,1.22003950307266,1.45803706554956,3,"a d",0,1,1.64838891155926,2.09804720771497,4,"b d",0,1,1.96186039690435,3.5887348846168,5,"a",1.46177254822785,1.69775667659665,6,"b",1.59094994998851,2.74714277547151,7,"c",1.24759784398456,1.31313362985448,8,"d",1.80512465423181,2.92504954756102,0.5,0.5
20,0,0,24,1,"W",1,"a c",0,1,2.24340367207548,4.76958221296236,2,"b c",0,1,1.36201173708476,1.49734375000602,3,"a d",0,1,1.66743161187408,1.64445674412278,4,"b d",0,1,1.61455391944332,2.34355285459877,5,"a",1.95541764197478,3.54125663646077,6,"b",1.48828282826404,1.94965207627166,7,"c",1.80270770458012,3.52533123577348,8,"d",1.6409927656587,2.00293691710197,0.9,0.9
