"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,32,"within","1","5","a","6","b",92.9999999999998,93.000000000001,92.9999999999998,0.337734337858006,0.0694238228854349,0.337734337858006,0.736324541079157,0.944801324084867,0.736324541079157,0.991996349101395
1,32,"within","2","7","c","8","d",93.0000000000004,93.0000000000004,93.0000000000004,2.1975841006736,1.89375188858612,2.1975841006736,0.030462058273158,0.0613663042918305,0.030462058273158,0.0423913477480696
1,32,"within","3","1","a c","2","b c",93.000000000001,93.000000000001,92.9999999999998,-0.106066530123347,-0.317442971997613,0.115510766057495,0.915758018285644,0.751619109137568,0.908289334546917,0.78912592260167
1,32,"within","4","1","a c","3","a d",93.000000000001,93.0000000000004,92.9999999999998,-0.284106777116109,0.972551774368282,1.31297237418685,0.776960142631435,0.333298912818047,0.192422846228346,0.421125980094075
1,32,"within","5","1","a c","4","b d",93.000000000001,93.0000000000004,93.0000000000004,0.268954415669916,1.38817485824227,2.05224127695482,0.78856052648276,0.168400251096764,0.0429566468887504,0.114984906278551
1,32,"within","6","2","b c","3","a d",93.000000000001,93.000000000001,92.9999999999992,-0.178040246992761,1.2899947463659,-1.19746160812936,0.85907860774097,0.20025097165583,0.23416990624544,0.177624359261245
1,32,"within","7","2","b c","4","b d",93.000000000001,93.0000000000004,92.9999999999998,0.375020945793264,1.70561783023988,1.93673051089732,0.708498776079011,0.0914171794872229,0.0558137900279445,0.0341199110262096
1,32,"within","8","3","a d","4","b d",93.000000000001,93.0000000000004,92.9999999999992,0.553061192786025,0.415623083873983,0.739268902767964,0.581548554471112,0.678643265467548,0.461605607504327,0.832039680331946
2,16,"within","9","5","a","6","b",45.0000000000001,44.9999999999998,45.0000000000001,-0.448802023360843,-0.291275368249673,-0.448802023360843,0.655728357554692,0.772179149621571,0.655728357554692,0.832039680331946
2,16,"within","10","7","c","8","d",45.0000000000001,44.9999999999998,45.0000000000001,1.54576625046755,1.86679454257096,1.54576625046755,0.129165431494626,0.0684537912079676,0.129165431494626,0.0569678158499301
2,16,"within","11","1","a c","2","b c",45.0000000000001,44.9999999999998,45,0.0117367442870905,0.116783434048143,-0.119554746522753,0.990687528360518,0.907551329921809,0.905368028297797,0.899932861328125
2,16,"within","12","1","a c","3","a d",45.0000000000001,44.9999999999998,45,0.117367442870905,1.64276930226406,1.17163651592298,0.907091174150235,0.107401243849667,0.247509240078714,0.19281005859375
2,16,"within","13","1","a c","4","b d",45,44.9999999999998,45.0000000000001,-0.129104187157996,1.11406029205201,0.765150377745619,0.897850533036313,0.271168455076057,0.448176447928925,0.129730224609375
2,16,"within","14","2","b c","3","a d",45,44.9999999999998,45.0000000000001,0.105630698583815,1.52598586821592,-1.29119126244573,0.916344832229122,0.134011833141682,0.203230992059502,0.348388671875
2,16,"within","15","2","b c","4","b d",45.0000000000001,44.9999999999998,45.0000000000001,-0.140840931445086,0.997276858003869,0.884705124268372,0.888624188517919,0.323962760190495,0.3810185495033,0.19281005859375
2,16,"within","16","3","a d","4","b d",45.0000000000001,44.9999999999998,45,-0.246471630028901,-0.528709010212049,-0.40648613817736,0.806438045118095,0.599605531727753,0.686312223018405,0.668548583984375
3,24,"within","17","5","a","6","b",68.9999999999999,69.0000000000002,68.9999999999999,-1.55674634781481,-1.57825327332041,-1.55674634781481,0.124105878227035,0.119081340828283,0.124105878227035,0.19634448189413
3,24,"within","18","7","c","8","d",69.0000000000002,69.0000000000002,69.0000000000002,-0.578180953611843,-0.316807350140107,-0.578180953611843,0.56502427614019,0.752346330142954,0.56502427614019,0.479392677626955
3,24,"within","19","1","a c","2","b c",68.9999999999999,69.0000000000002,68.9999999999999,0.485184214270573,-0.767485664783011,-0.877546634733354,0.629082614662184,0.445411218029385,0.383235158270162,0.623094320297242
3,24,"within","20","1","a c","3","a d",68.9999999999999,69.0000000000002,68.9999999999999,0.250252910518506,0.124491301597905,-0.0103240780556866,0.803135393288542,0.901288258104061,0.991792516119154,0.623094320297242
