"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","M5","SD5","Num6","Str6","M6","SD6","Num7","Str7","M7","SD7","Num8","Str8","M8","SD8"
1,0,0,8,1,"B",1,"a c",0,1,0.940499289754138,0.898398731944852,2,"b c",0,1,1.49089637861897,1.2851034381397,3,"a d",0,1,0.694078276476058,0.702596099207992,4,"b d",0,1,1.07047169494954,1.27509249882919,5,"a",0.817288783115098,0.789439640268835,6,"b",1.28068403678426,1.25561378747811,7,"c",1.21569783418656,1.10821254639092,8,"d",0.882274985712802,1.01335098020478
2,0,0,24,1,"B",1,"a c",0,1,0.974828952397192,0.692386105061223,2,"b c",0,1,1.25042679551442,1.14996806767339,3,"a d",0,1,0.902690323540663,0.751288698450684,4,"b d",0,1,0.849763078897056,0.836457930168859,5,"a",0.938759637968927,0.715640049781592,6,"b",1.05009493720574,1.01514500331824,7,"c",1.11262787395581,0.9492822236001,8,"d",0.87622670121886,0.786966121604949
3,0,0,40,1,"B",1,"a c",0,1,1.10124324574529,0.820253604807292,2,"b c",0,1,0.820455388067919,0.587269780608826,3,"a d",0,1,1.03209637141186,0.952792896018363,4,"b d",0,1,1.04699509935437,1.26956685321567,5,"a",1.06666980857858,0.884037105311218,6,"b",0.933725243711145,0.989419665129197,7,"c",0.960849316906605,0.722751471768973,8,"d",1.03954573538312,1.11531000994205
4,0,0,24,1,"B",1,"a c",0,1,1.21573929138408,1.02457959957201,2,"b c",0,1,0.767476726825223,0.709074059328179,3,"a d",0,1,0.850029699783369,0.72013255383271,4,"b d",0,1,0.780799314862061,0.837990317672959,5,"a",1.03288449558372,0.895343388736991,6,"b",0.774138020843642,0.767940699742911,7,"c",0.991608009104651,0.900589731175696,8,"d",0.815414507322715,0.773721918120058
5,0,0,32,1,"B",1,"a c",0,1,0.973706177577742,1.00901939031434,2,"b c",0,1,1.01091594797543,0.970241765608482,3,"a d",0,1,0.763345805288467,0.675698827885389,4,"b d",0,1,1.24354323123786,1.39162337620415,5,"a",0.868525991433105,0.858416629308213,6,"b",1.12722958960664,1.19578209181395,7,"c",0.992311062776584,0.982112387281099,8,"d",1.00344451826316,1.11182784888129
6,0,0,32,1,"B",1,"a c",0,1,1.20407994836169,1.07156327145423,2,"b c",0,1,0.964112356571446,1.04519928160941,3,"a d",0,1,0.829237270685017,1.03383947595281,4,"b d",0,1,1.27694324614639,1.3632773830888,5,"a",1.01665860952335,1.06142567824762,6,"b",1.12052780135892,1.21528480073552,7,"c",1.08409615246657,1.05697022825243,8,"d",1.0530902584157,1.22120730070174
7,0,0,16,1,"B",1,"a c",0,1,1.07454763026285,1.12105212704445,2,"b c",0,1,0.819171133987163,0.485986575442307,3,"a d",0,1,1.1860506663022,1.13878282622978,4,"b d",0,1,1.15913342776931,0.865978143922683,5,"a",1.13029914828253,1.11302010487261,6,"b",0.989152280878238,0.712019194840885,7,"c",0.946859382125008,0.859779596376694,8,"d",1.17259204703576,0.99526238018662
8,0,0,40,1,"B",1,"a c",0,1,1.1496814684556,0.958839446050143,2,"b c",0,1,0.721886125981203,0.56820034878038,3,"a d",0,1,1.15115385058429,0.829055322618734,4,"b d",0,1,1.12725263728286,1.02432456346653,5,"a",1.15041765951995,0.89060902215727,6,"b",0.924569381632031,0.847916624969128,7,"c",0.935783797218404,0.812146251462756,8,"d",1.13920324393357,0.925980789586638
9,0,0,32,1,"B",1,"a c",0,1,1.09717110664,0.963907073120334,2,"b c",0,1,1.32286521044565,1.37310042197686,3,"a d",0,1,1.03844197745953,1.09308780826626,4,"b d",0,1,1.01106374689302,1.09324478225166,5,"a",1.06780654204977,1.02274046450819,6,"b",1.16696447866933,1.24118337701052,7,"c",1.21001815854283,1.1823112642003,8,"d",1.02475286217627,1.08454343773956
10,0,0,40,1,"B",1,"a c",0,1,0.893418844171317,0.903889291983279,2,"b c",0,1,0.935329424666233,0.74830542320934,3,"a d",0,1,0.84754631719702,0.72108299498513,4,"b d",0,1,1.40652498855526,1.45240110276319,5,"a",0.870482580684169,0.812747884286417,6,"b",1.17092720661075,1.17218973929274,7,"c",0.914374134418775,0.824753338033875,8,"d",1.12703565287614,1.17353139791925
11,0,0,40,1,"B",1,"a c",0,1,1.11833147347192,1.31455731200148,2,"b c",0,1,1.19250277508987,1.1215739877201,3,"a d",0,1,1.1976216026022,1.22734193551461,4,"b d",0,1,0.81431719383207,0.731984180183322,5,"a",1.15797653803706,1.26425279611715,6,"b",1.00340998446097,0.960062759197382,7,"c",1.15541712428089,1.21469694069977,8,"d",1.00596939821713,1.02242599928683
12,0,0,8,1,"B",1,"a c",0,1,0.856396626953961,0.88144397165086,2,"b c",0,1,0.910276870090078,1.0219662129589,3,"a d",0,1,1.0009691645742,0.765159953044489,4,"b d",0,1,0.780751308308195,0.424486006835367,5,"a",0.92868289576408,0.800853606133465,6,"b",0.845514089199137,0.75891724000358,7,"c",0.883336748522019,0.922356447061041,8,"d",0.890860236441197,0.608472978477989
13,0,0,32,1,"B",1,"a c",0,1,1.07686097994399,1.03094149336969,2,"b c",0,1,0.986045921553421,0.941191975706819,3,"a d",0,1,1.17633314087366,1.18582638442336,4,"b d",0,1,0.640582513006677,0.656371107389202,5,"a",1.12659706040882,1.10337201235557,6,"b",0.813314217280049,0.823524614415852,7,"c",1.0314534507487,0.980290867360868,8,"d",0.908457826940169,0.988342241564808
14,0,0,8,1,"B",1,"a c",0,1,0.721738131930056,0.710366859335558,2,"b c",0,1,1.08970692339403,0.94663551424982,3,"a d",0,1,0.710058788860863,0.636512900791815,4,"b d",0,1,0.705412427984799,0.658746952986818,5,"a",0.715898460395459,0.651609999014484,6,"b",0.897559675689416,0.812452806882403,7,"c",0.905722527662045,0.830533291635956,8,"d",0.707735608422831,0.62576672444207
15,0,0,8,1,"B",1,"a c",0,1,0.829089227622366,0.666537987565523,2,"b c",0,1,0.452721024557879,0.254312660635258,3,"a d",0,1,0.545472773771567,0.44571924521168,4,"b d",0,1,0.738534297797138,0.295511519545415,5,"a",0.687281000696967,0.566999289389289,6,"b",0.595627661177508,0.30449639531998,7,"c",0.640905126090123,0.524674300539737,8,"d",0.642003535784352,0.378685439768424
16,0,0,40,1,"B",1,"a c",0,1,1.24397184820492,0.94359676533192,2,"b c",0,1,0.961908623494613,0.736882301152198,3,"a d",0,1,0.870876446127031,0.802402571372732,4,"b d",0,1,0.86655189811177,1.07459731687117,5,"a",1.05742414716597,0.890304801473112,6,"b",0.914230260803191,0.916751971132561,7,"c",1.10294023584976,0.853085525007676,8,"d",0.8687141721194,0.942298133055495
17,0,0,32,1,"B",1,"a c",0,1,1.04064436804467,1.15608469132214,2,"b c",0,1,0.877897909185433,0.886736512829561,3,"a d",0,1,0.887053270261992,0.76782906742416,4,"b d",0,1,0.933116434727631,0.936301043026954,5,"a",0.963848819153333,0.976601944906591,6,"b",0.905507171956532,0.905017628926976,7,"c",0.959271138615054,1.02532704589278,8,"d",0.910084852494812,0.849713338781751
18,0,0,24,1,"B",1,"a c",0,1,1.0872803653877,1.14265763480079,2,"b c",0,1,1.13971724428894,0.943345558059904,3,"a d",0,1,0.842854464241345,0.671016187081848,4,"b d",0,1,1.01822284950699,1.26905972961206,5,"a",0.965067414814522,0.935167520648729,6,"b",1.07897004689796,1.10786971887446,7,"c",1.11349880483832,1.0368840770848,8,"d",0.930538656874169,1.00812530061235
19,0,0,8,1,"B",1,"a c",0,1,2.10175449499335,1.89938541842752,2,"b c",0,1,0.661062479276912,0.602229642202255,3,"a d",0,1,0.632272650813196,0.488486424965179,4,"b d",0,1,0.791399184071223,0.641104329689401,5,"a",1.36701357290327,1.53972931056669,6,"b",0.726230831674067,0.604638611123561,7,"c",1.38140848713513,1.55123160755943,8,"d",0.711835917442209,0.556699874666124
20,0,0,24,1,"B",1,"a c",0,1,1.15699735662826,1.0615896369955,2,"b c",0,1,1.0625043299956,1.1327001941417,3,"a d",0,1,1.17759982046616,1.32993408335017,4,"b d",0,1,1.04596346558721,0.889810242634544,5,"a",1.16729858854721,1.19044180675009,6,"b",1.05423389779141,1.0076625485217,7,"c",1.10975084331193,1.08702932871861,8,"d",1.11178164302669,1.12135117053516
21,0,0,16,1,"B",1,"a c",0,1,0.641657383527522,1.00383494657535,2,"b c",0,1,1.25000236330086,1.46167323827489,3,"a d",0,1,1.38536230377141,1.43719566792227,4,"b d",0,1,0.9629159330009,0.818657166607466,5,"a",1.01350984364947,1.27662629847967,6,"b",1.10645914815088,1.17445487871966,7,"c",0.945829873414191,1.27156580826424,8,"d",1.17413911838615,1.17038250784012
22,0,0,24,1,"B",1,"a c",0,1,1.36917321851146,1.10130322845055,2,"b c",0,1,0.776358497005354,0.683436008671619,3,"a d",0,1,1.09204466584173,1.08006379318767,4,"b d",0,1,0.972070532263079,0.944474926290256,5,"a",1.2306089421766,1.08811719662247,6,"b",0.874214514634217,0.821510605061708,7,"c",1.07276585775841,0.954898722981592,8,"d",1.03205759905241,1.00551512403209
23,0,0,32,1,"B",1,"a c",0,1,1.38479683955134,1.54830914541179,2,"b c",0,1,0.803023756312368,0.981423129434531,3,"a d",0,1,1.14916514068962,1.31524384833148,4,"b d",0,1,1.0514995782185,0.995395480438714,5,"a",1.26698099012048,1.43000339693604,6,"b",0.927261667265433,0.988521044654182,7,"c",1.09391029793185,1.31890640339364,8,"d",1.10033235945406,1.15808854438521
24,0,0,16,1,"B",1,"a c",0,1,1.08066242157473,0.926999145227356,2,"b c",0,1,1.20485025302504,0.945946785441923,3,"a d",0,1,1.58022784118699,1.62683481662978,4,"b d",0,1,1.34854491084966,0.954171865347335,5,"a",1.33044513138086,1.32695757894061,6,"b",1.27669758193735,0.937465255788413,7,"c",1.14275633729989,0.923449388765366,8,"d",1.46438637601833,1.31719334902231
25,0,0,32,1,"B",1,"a c",0,1,1.04703485645161,0.905537273493659,2,"b c",0,1,1.07897051977601,1.28209925262037,3,"a d",0,1,0.938976417761057,0.900260668843997,4,"b d",0,1,1.2454456043292,1.33082741680852,5,"a",0.993005637106334,0.897362129048004,6,"b",1.16220806205261,1.29899049066194,7,"c",1.06300268811381,1.10117817028168,8,"d",1.09221101104513,1.13760728597942
26,0,0,24,1,"B",1,"a c",0,1,0.891641266279541,0.777334278489286,2,"b c",0,1,1.11376927812378,1.06941590896771,3,"a d",0,1,1.23820555558822,1.3292570167007,4,"b d",0,1,0.99229232768878,1.0050061289333,5,"a",1.06492341093388,1.09134170799482,6,"b",1.05303080290628,1.02844539797984,7,"c",1.00270527220166,0.931639671940927,8,"d",1.1152489416385,1.17233895239866
27,0,0,40,1,"B",1,"a c",0,1,1.10366136861745,1.21510504068923,2,"b c",0,1,0.823427896636397,0.919866913730572,3,"a d",0,1,1.16489329962305,0.897747584614953,4,"b d",0,1,0.974280228205365,1.2298797677566,5,"a",1.13427733412025,1.06194111392154,6,"b",0.898854062420881,1.08176335429653,7,"c",0.963544632626925,1.08004568898241,8,"d",1.06958676391421,1.07415147933382
