"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,24,"within","1","5","a","6","b",68.9999999999999,69.0000000000002,68.9999999999999,0.0432684589574456,0.105599249672498,0.0432684589574456,0.965612503697603,0.916206713118668,0.965612503697603,0.524871460925709
1,24,"within","2","7","c","8","d",68.9999999999999,69.0000000000002,68.9999999999999,0.498245908942211,0.575302448264128,0.498245908942211,0.619895200206556,0.566958171066046,0.619895200206556,0.485757675224108
1,24,"within","3","1","a c","2","b c",69.0000000000002,69.0000000000002,68.9999999999999,-1.35680663029399,-1.25854970291991,-1.30387535733827,0.179265073286548,0.212434804073905,0.196609374598,0.40611207485199
1,24,"within","4","1","a c","3","a d",69.0000000000002,69.0000000000002,68.9999999999999,-1.32041718043936,-0.926419386050752,-0.923143752995492,0.191059008447988,0.357457158962483,0.359149233579139,0.603311419487
1,24,"within","5","1","a c","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,0.0155954785091263,0.481470207932422,0.537196647223365,0.98760211993393,0.631705830709328,0.592859974442435,0.704756498336792
1,24,"within","6","2","b c","3","a d",69.0000000000002,69.0000000000002,68.9999999999999,0.036389449854628,0.332130316869153,-0.380731604342773,0.971076899434351,0.740797693986694,0.704572086007848,0.564588904380799
1,24,"within","7","2","b c","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,1.37240210880311,1.74001991085233,1.84107200456163,0.174383194125454,0.0863140718407013,0.0699101861802786,0.135528087615967
1,24,"within","8","3","a d","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,1.33601265894849,1.40788959398317,1.46034040021886,0.185934873294261,0.163653283677367,0.14873506688473,0.0787292718887331
2,32,"within","9","5","a","6","b",93.0000000000004,93.0000000000004,93.0000000000004,0.894624044777455,0.785316428470433,0.894624044777455,0.373297612045472,0.43426417628277,0.373297612045472,0.179970882157885
2,32,"within","10","7","c","8","d",93.0000000000004,93.0000000000004,93.0000000000004,-0.169569385582775,1.0603461857988,-0.169569385582775,0.865717106302523,0.291733185660716,0.865717106302523,0.666218223036798
2,32,"within","11","1","a c","2","b c",92.9999999999998,93.0000000000004,93.0000000000004,0.193750308824864,0.589627352107521,0.838956716150223,0.846793953981512,0.556870283167895,0.40364490930879,0.16004515811801
2,32,"within","12","1","a c","3","a d",92.9999999999998,93.0000000000004,93.0000000000004,-0.754818911463531,0.784102758542503,0.0516892763504876,0.452264894816278,0.434972396512736,0.958887144178629,0.977935066912323
2,32,"within","13","1","a c","4","b d",92.9999999999998,93.0000000000004,93.0000000000004,-1.06966316330393,1.30508055033227,0.588462530759398,0.287539369164431,0.195085286996919,0.557648353851274,0.246213505975902
2,32,"within","14","2","b c","3","a d",92.9999999999998,93.000000000001,93.0000000000004,-0.948569220288394,0.194475406434982,0.787267439799735,0.345298171861025,0.846227844119127,0.433127110719673,1
2,32,"within","15","2","b c","4","b d",92.9999999999998,93.0000000000004,93.0000000000004,-1.2634134721288,0.715453198224748,-0.250494185390825,0.209598688771055,0.476121456670088,0.802757761354805,0.511912147514522
2,32,"within","16","3","a d","4","b d",92.9999999999998,93.000000000001,93.0000000000004,-0.314844251840403,0.520977791789765,0.53677325440891,0.753585216699608,0.603620535746516,0.592706065349978,0.548343148082495
3,16,"within","17","5","a","6","b",45,45.0000000000001,45,-0.6716556403339,-1.39635078302174,-0.6716556403339,0.505236611910791,0.169459070893829,0.505236611910791,0.286517813336104
3,16,"within","18","7","c","8","d",45,45.0000000000001,45,-1.51004296894181,-1.29462187573518,-1.51004296894181,0.13802290128329,0.202054541173824,0.13802290128329,0.286517813336104
3,16,"within","19","1","a c","2","b c",45,45,45,1.3651369999144,-0.688353218413902,0.0475584070724672,0.178996435383165,0.494763864609391,0.962278627328976,0.979949951171875
3,16,"within","20","1","a c","3","a d",45,45.0000000000001,45,0.61195796547887,-0.616420018228878,-0.456560707895686,0.543645335483456,0.540723359423247,0.65018297835848,0.5618896484375
3,16,"within","21","1","a c","4","b d",45,45.0000000000001,45,0.884985365461751,-1.90280501499461,-1.53138070773345,0.380869008500816,0.0634759688832862,0.132675838751668,0.252227783203125
3,16,"within","22","2","b c","3","a d",45,45.0000000000001,45,-0.753179034435533,0.0719332001850237,0.504119114968153,0.455264907763296,0.942973832514507,0.616637093436928,0.528167724609375
3,16,"within","23","2","b c","4","b d",45,45,45,-0.480151634452652,-1.21445179658071,-1.57893911480591,0.633445441021664,0.230909942071019,0.121354553299201,0.348388671875
3,16,"within","24","3","a d","4","b d",45,45.0000000000001,45.0000000000001,0.273027399982881,-1.28638499676573,-1.07481999983776,0.786081265300681,0.204887852066361,0.288184739659487,0.116668701171875
4,16,"within","25","5","a","6","b",45,45,45,0.888503435176663,0.920230336860614,0.888503435176663,0.378994882947463,0.362359388629176,0.378994882947463,0.369401322677732
4,16,"within","26","7","c","8","d",45,45,45,0.846687844096776,0.801189404779711,0.846687844096776,0.4016495292411,0.427232257730874,0.4016495292411,0.216887323185802
4,16,"within","27","1","a c","2","b c",45,45,45.0000000000001,-0.916472253940061,0.181071178511365,0.0333468874108353,0.364304845172916,0.85712479740624,0.973545439922159,0.820892333984375
4,16,"within","28","1","a c","3","a d",45,45,45,-0.916472253940062,0.0968965281981913,-0.133387549643342,0.364304845172916,0.923238841407895,0.894481625016992,0.668548583984375
4,16,"within","29","1","a c","4","b d",45,45,45,-0.357647708854658,1.21722757258227,1.16714105937924,0.722279038914796,0.229862688873045,0.249301005136514,0.083251953125
4,16,"within","30","2","b c","3","a d",45.0000000000001,45,45,0,-0.0841746503131737,0.166734437054177,1,0.933290934261988,0.868325972938777,0.93988037109375
4,16,"within","31","2","b c","4","b d",45,45,45,0.558824545085403,1.0361563940709,1.1337941719684,0.57905193042277,0.305665314613928,0.262885087967579,0.2978515625
4,16,"within","32","3","a d","4","b d",45,45,45,0.558824545085403,1.12033104438408,1.30052860902258,0.57905193042277,0.268516476923024,0.200040994858362,0.116668701171875
5,40,"within","33","5","a","6","b",117,117,117,1.11661845883068,0.431344588101433,1.11661845883068,0.266445395220345,0.667011570720101,0.266445395220345,0.384012948347633
5,40,"within","34","7","c","8","d",117.000000000001,117,117.000000000001,-0.323865999510211,-0.96448877407265,-0.323865999510211,0.746617706617634,0.336790215449847,0.746617706617634,0.560062353357126
5,40,"within","35","1","a c","2","b c",117,117,117.000000000001,0.395684976143845,0.309825107033258,0.672524180780968,0.693058023901111,0.757245106824131,0.502576085865576,0.535971383040305
5,40,"within","36","1","a c","3","a d",117,117,117.000000000001,0.398705472144943,-0.677178128766453,-0.370943830654973,0.6908369517781,0.499629713093185,0.711350162393893,0.646303621848347
5,40,"within","37","1","a c","4","b d",117,117,117.000000000001,0.981661200356868,-0.376989869250429,0.603160700251989,0.328292356270268,0.706864021941883,0.547569245706069,0.589975534387122
5,40,"within","38","2","b c","3","a d",117,117,117.000000000001,0.0030204960010981,-0.987003235799712,1.04346801143594,0.997595140590296,0.325677798282858,0.298882809207774,0.412534033624979
5,40,"within","39","2","b c","4","b d",117,117.000000000001,117.000000000001,0.585976224213023,-0.686814976283688,-0.0693634805289789,0.559020195203429,0.493558359652058,0.944818708768656,0.785203449248002
5,40,"within","40","3","a d","4","b d",117,117,117.000000000001,0.582955728211925,0.300188259516024,0.974104530906963,0.561045020941546,0.764566268172454,0.33201430847245,0.562667682332176
