"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
1,8,"between","1","5","a","6","b",28,28,28,0.432550306879371,0.728490275003213,0.432550306879371,0.668654889324728,0.472362804841701,0.668654889324729,0.723975273923011
1,8,"between","2","7","c","8","d",28,28,28,-2.34147527611742,-1.57484786220059,-2.34147527611742,0.0265528290057131,0.126524402104662,0.0265528290057131,0.0864607178417516
1,8,"between","3","1","a c","2","b c",28,28,28,-2.55173819699045,-1.3480459582968,-2.83135358918626,0.0164644042070122,0.188449127930249,0.00848766108350422,0.0147630147630148
1,8,"between","4","1","a c","3","a d",28,28,28,-1.99446203902702,-2.97675197447919,-3.98963460294428,0.0559201442567942,0.00594946479049118,0.000432046072403881,0.0104118104118104
1,8,"between","5","1","a c","4","b d",28,28,28,-0.263972916930048,-0.598465189215946,-1.8017704658458,0.793733983163866,0.554340481254931,0.0823592086476748,0.0379176379176379
1,8,"between","6","2","b c","3","a d",28,28,28,0.557276157963431,-1.6287060161824,1.15828101375802,0.581766735733455,0.114576542356536,0.256533729039314,0.194871794871795
1,8,"between","7","2","b c","4","b d",28,28,28,2.28776528006041,0.749580769080851,1.02958312334046,0.029908589171473,0.459759235049142,0.312017960730271,0.278632478632479
1,8,"between","8","3","a d","4","b d",28,28,28,1.73048912209697,2.37828678526325,2.18786413709848,0.0945517997589977,0.0244547974949088,0.0371875461265741,0.0379176379176379
2,24,"between","9","5","a","6","b",92,92,92,-0.196418101936092,0.177400561635522,-0.196418101936092,0.844716161759275,0.859583760978708,0.844716161759275,0.351783817537233
2,24,"between","10","7","c","8","d",92,92,92,1.09842747362587,1.20148776459795,1.09842747362587,0.27488423591188,0.232645916507285,0.27488423591188,0.0871177304575176
2,24,"between","11","1","a c","2","b c",92,92,92,-4.90868290667775,-2.88022843150879,-3.94074333766105,3.95309943600437e-06,0.00494340771035606,0.000158112172032974,0.000468756068964032
2,24,"between","12","1","a c","3","a d",92,92,92,-5.8368475679658,-2.1560894257677,-3.26700334767384,7.89914690774277e-08,0.0336852979467656,0.00152842951246532,0.00632736419267434
2,24,"between","13","1","a c","4","b d",92,92,92,-1.58846972233861,0.975021285978653,2.30088562618274,0.115611109009989,0.33210646784315,0.0236572428451378,0.0336825577922627
2,24,"between","14","2","b c","3","a d",92,92,92,-0.928164661288053,0.724139005741094,-0.673739989987213,0.355750925503977,0.470817851431571,0.502165836126662,0.587992653723386
2,24,"between","15","2","b c","4","b d",92,92,92,3.32021318433914,3.85524971748744,6.24162896384379,0.00129062235482739,0.000213992451842138,1.31220087122673e-08,1.2248048068359e-07
2,24,"between","16","3","a d","4","b d",92,92,92,4.24837784562719,3.13111071174635,5.56788897385658,5.14914833476977e-05,0.00233472547484979,2.53351664727877e-07,1.69572525566164e-06
3,40,"between","17","5","a","6","b",156,156,156,3.28728796649361,2.28919511823111,3.28728796649361,0.00124984476697212,0.0234093544872787,0.00124984476697212,0.350638736014246
3,40,"between","18","7","c","8","d",156,156,156,-7.42831515514632,-5.29513556980473,-7.42831515514632,6.75283041541581e-12,3.98068892698468e-07,6.75283041541581e-12,1.97985602298351e-11
3,40,"between","19","1","a c","2","b c",156,156,156,-4.68629608357866,0.0638221081311275,-1.07166285542788,6.0200602176405e-06,0.949193580722119,0.285526611001419,0.193391234774725
3,40,"between","20","1","a c","3","a d",156,156,156,0.843642152096043,-5.29910955214024,-7.5595677099102,0.400161173641683,3.90798906324588e-07,3.236276416643e-12,8.98450225808914e-10
3,40,"between","21","1","a c","4","b d",156,156,156,1.39337026410701,-2.12552087715066,-4.90068527401075,0.165489940873734,0.0351178026085906,2.37176019581894e-06,1.33069454787044e-05
