"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,40,"within","1","5","a","6","b",117,117,117,1.01944072868499,1.01617749400712,1.01944072868499,0.310097142748826,0.311641635024404,0.310097142748826,0.36340480215551
1,40,"within","2","7","c","8","d",117.000000000001,117,117.000000000001,-0.19802101321657,-1.50017060492958,-0.19802101321657,0.843372270150551,0.136263919459257,0.843372270150551,0.868572559080285
1,40,"within","3","1","a c","2","b c",117,117.000000000001,117,0.0573624268651428,1.30987366834992,1.72789613377308,0.95435434335812,0.192804651333465,0.0866453048805052,0.288657849785523
1,40,"within","4","1","a c","3","a d",117,117.000000000001,117,2.6702209705724,-0.469453136234099,0.78949400583778,0.00865873568600899,0.639619478566912,0.431420380169448,0.704687674307934
1,40,"within","5","1","a c","4","b d",117,117,117,1.33367642461457,-0.342234810780848,0.674300930252908,0.184900457590701,0.732788196319376,0.501450144746658,0.518527274200096
1,40,"within","6","2","b c","3","a d",117,117,117,2.61285854370725,-1.77932680458401,0.938402127935297,0.0101572256022837,0.0777826913247727,0.349970964332476,0.201593394895099
1,40,"within","7","2","b c","4","b d",117,117.000000000001,117,1.27631399774943,-1.65210847913076,-1.05359520352017,0.204372228182893,0.101193749037592,0.294239266982401,0.501374740073516
1,40,"within","8","3","a d","4","b d",117,117.000000000001,117,-1.33654454595783,0.127218325453251,-0.115193075584872,0.183964672704207,0.898985989072212,0.908489552296015,0.785203449248002
2,24,"within","9","5","a","6","b",69.0000000000002,68.9999999999999,69.0000000000002,-3.69887987410574,-2.90779488302747,-3.69887987410574,0.000430994638910485,0.00489192616231655,0.000430994638910485,0.0652781933846571
2,24,"within","10","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,-1.90977917373967,-1.17051741202726,-1.90977917373967,0.0603194517684213,0.245819665469416,0.0603194517684213,0.772074255971525
2,24,"within","11","1","a c","2","b c",68.9999999999999,68.9999999999999,68.9999999999999,7.86012681225443,0.936365801475528,3.24568499176551,3.60273202619152e-11,0.352350689437313,0.00180904617047442,0.024863600730896
