"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
1,8,"between","1","5","a","6","b",28,28,28,-2.90850919163971,-1.75781694871058,-2.90850919163971,0.0070351428100856,0.0897078369781685,0.00703514281008562,0.0670847937661051
1,8,"between","2","7","c","8","d",28,28,28,4.92957817754161,2.9486089694875,4.92957817754161,3.36226279578552e-05,0.00637639777313527,3.36226279578552e-05,8.6853607052461e-05
1,8,"between","3","1","a c","2","b c",28,28,28,-0.644532296559323,-2.04839750373246,-1.88808920105129,0.524476049173271,0.0500010062966174,0.0694167042230201,0.104895104895105
1,8,"between","4","1","a c","3","a d",28,28,28,-3.28404551104036,1.27954817817753,3.6628930500395,0.00275025839051194,0.211205618618517,0.00102941678287267,0.00699300699300699
1,8,"between","5","1","a c","4","b d",28,28,28,-0.491072225949961,0.842017112874192,1.85032741703026,0.627202467214243,0.406913035288355,0.0748451284872146,0.13038073038073
1,8,"between","6","2","b c","3","a d",28,28,28,-2.63951321448103,3.32794568190999,-5.55098225109079,0.0134146081978676,0.00245820600666477,6.16681759699124e-06,0.000310800310800311
1,8,"between","7","2","b c","4","b d",28,28,28,0.153460070609362,2.89041461660666,3.73841661808156,0.879136135398226,0.00735302930080698,0.000843464438362901,0.00295260295260295
1,8,"between","8","3","a d","4","b d",28,28,28,2.79297328509039,-0.437531065303334,-1.81256563300924,0.00931136239700152,0.665082683771394,0.0806350838496541,0.082983682983683
2,24,"between","9","5","a","6","b",92,92,92,-3.88768583403264,-3.9050048063688,-3.88768583403264,0.000190872009894415,0.000179524481735111,0.000190872009894414,0.000234835246579225
2,24,"between","10","7","c","8","d",92,92,92,1.98485611960105,2.00960655890481,1.98485611960105,0.0501391364395667,0.0474024544086421,0.0501391364395667,0.0455060503992095
2,24,"between","11","1","a c","2","b c",92,92,92,0.221463182687402,-2.93889901299112,-2.70868335706524,0.825222616484758,0.00416372548895945,0.00805560517650277,0.00935686782804674
2,24,"between","12","1","a c","3","a d",92,92,92,-0.891003037323728,1.24336279147688,1.61056848257933,0.375251819934699,0.216893342475634,0.110699689684999,0.125281743741575
2,24,"between","13","1","a c","4","b d",92,92,92,0.33992023389229,-1.34024895383089,-1.24453019108403,0.734691438406258,0.183464989948131,0.216465643908026,0.272703911388575
2,24,"between","14","2","b c","3","a d",92,92,92,-1.11246622001113,4.182261804468,-4.31925183964458,0.268836205004519,6.58091374060009e-05,3.94853207643612e-05,7.86820273820757e-05
