"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","Ms5","SDs5","M5","SD5","Num6","Str6","Ms6","SDs6","M6","SD6","Num7","Str7","Ms7","SDs7","M7","SD7","Num8","Str8","Ms8","SDs8","M8","SD8","Num9","Str9","Ms9","SDs9","M9","SD9","Num10","Str10","M10","SD10","Num11","Str11","M11","SD11","Num12","Str12","M12","SD12","Num13","Str13","M13","SD13","Num14","Str14","M14","SD14","Num15","Str15","M15","SD15"
1,0,0,40,1,"B",1,"a d",-1.40127363706684,1.52307393474214,0.265239702821814,0.216054049325717,2,"b d",-1.95504078056237,0.038295481191607,0.10527216803785,0.113240803079211,3,"c d",0.941915574678716,0.36629796237239,2.05810551048364,2.22134310476192,4,"a e",0.63012923407275,2.08023071358395,1.80349444311072,1.68527510693932,5,"b e",-0.492218585905441,0.772216401265726,0.615258566975699,0.6081901226507,6,"c e",-0.00902477799271019,0.116694715863643,1.13901934629276,1.15248382571669,7,"a f",0.561056806337967,0.149122703201666,1.45490613633,1.25298071115188,8,"b f",-0.864136161085886,0.818783797434946,0.470916091777182,0.554444418101793,9,"c f",-0.207545490785376,0.128174585753729,0.869090985175888,0.808666664958366,10,"a",1.17454676075418,1.37765948007166,11,"b",0.397148942263577,0.522141545788603,12,"c",1.35540528065076,1.5899606108846,13,"d",0.809539127114434,1.55786895457312,14,"e",1.18592411879306,1.31367238866354,15,"f",0.931637737761023,0.997141228387779
2,0,0,8,1,"B",1,"a d",0.211070634611673,0.218385639221326,2.57018253745342,2.48194012104361,2,"b d",-1.09028963013788,0.194177740093636,0.19419300890964,0.113421634208006,3,"c d",-0.446572160060968,0.852506210449768,0.494255369397976,0.325293573345421,4,"a e",0.0629215382029642,0.181305878987382,1.21832425525981,1.18036441667551,5,"b e",0.946967628833626,0.0580755247077071,1.90082984748791,1.44346638612824,6,"c e",-0.75168250701838,0.304498253632025,0.390490861144689,0.228615558593894,7,"a f",-0.307242902342777,0.860847403062475,1.05968983002478,0.890110738303593,8,"b f",-0.85191547814779,0.155310414614548,0.642081239353234,0.417684721341407,9,"c f",-0.420110445456326,0.0963256352907982,0.475153325309885,0.465827041461171,10,"a",1.61606554091267,1.73761228939419,11,"b",0.912368031916928,1.11166811609745,12,"c",0.45329985195085,0.340991513957837,13,"d",1.08621030525368,1.75371881508598,14,"e",1.1698816546308,1.21326900678561,15,"f",0.725641464895965,0.650644724901968
3,0,0,8,1,"B",1,"a d",-2.16598831364895,0.711596039952164,0.076350780021498,0.0704850339027766,2,"b d",-0.616664088645665,0.406352286233853,0.575636141040881,0.354058946937892,3,"c d",0.699517126350732,0.433232973253948,3.66246738012078,2.89483286227477,4,"a e",-1.42702196957708,0.630084875440576,0.397109190710035,0.476496752261412,5,"b e",0.00204196509643673,0.0357574223798688,0.740290721967809,0.407562287932893,6,"c e",-0.591375791085345,0.478662802874837,0.545385725044716,0.524881539740941,7,"a f",0.25110171601411,0.0183381001704319,1.28388249414591,1.42576941108882,8,"b f",0.922223059931192,0.344619438518576,1.97170101978599,1.45336473271004,9,"c f",1.0636078183615,0.984683310522693,4.57700205325132,3.34110278050502,10,"a",0.585780821625816,0.980539894180522,11,"b",1.09587596093156,1.06606581793404,12,"c",2.92828505280561,3.02319788358725,13,"d",1.43815143372772,2.28359749449981,14,"e",0.56092854590752,0.473405370669069,15,"f",2.61086185572774,2.59964254533725
4,0,0,40,1,"B",1,"a d",0.0954169963963807,0.4154962402711,0.920446836754751,0.785497726542204,2,"b d",0.483323297329212,0.102873696309195,1.6863311851364,1.66410844501464,3,"c d",-0.877445581548292,0.297398216123414,0.432864900795564,0.337091897423709,4,"a e",-0.306755637173411,0.114470075661623,0.838244951823909,0.845764552048962,5,"b e",-1.2391069430534,0.192105824677663,0.302738693006441,0.296162273483317,6,"c e",0.951320789903181,0.0390981739636595,3.21454683102672,3.10125522938134,7,"a f",0.32491368024565,0.155062792518582,1.44061053618173,1.6472899155064,8,"b f",-1.85481214949914,0.134697651266257,0.155853660582238,0.159296573511771,9,"c f",-1.69300315348439,1.18840776219983,0.165327717583452,0.158082004319956,10,"a",1.06643410825346,1.18223997405617,11,"b",0.71497451290836,1.19331106069632,12,"c",1.27091314980191,2.26146755697144,13,"d",1.01321430756224,1.18971711168584,14,"e",1.45184349195236,2.24277450413673,15,"f",0.58726397144914,1.12827325013512
5,0,0,32,1,"B",1,"a d",0.121583154733287,0.645149120511263,1.10189590398495,1.15768482895591,2,"b d",1.33063787483209,0.798865585582544,3.48932892550888,3.11516019299416,3,"c d",-0.0291011027306234,0.941268787611033,0.811624847773113,0.543464388290038,4,"a e",-0.525642460584104,0.941914669122654,0.512128269456008,0.455817080461871,5,"b e",-1.23332919613532,1.6271850505224,0.34269787285475,0.291687038035616,6,"c e",-0.598658908280153,1.55038080860556,0.450764507027506,0.545660144710467,7,"a f",0.176321214273025,0.0657564091059289,1.67102580658148,1.8620086244562,8,"b f",-1.00146815094072,1.36854697888572,0.352038796968916,0.333639385269907,9,"c f",-0.435300833189673,0.239049196144606,0.713804664637365,0.636550257721196,10,"a",1.09501666000748,1.36481512847134,11,"b",1.39468853177752,2.33400826612694,12,"c",0.658731339812662,0.590951490671757,13,"d",1.80094989242231,2.27043281228795,14,"e",0.435196883112755,0.444609833695959,15,"f",0.912289756062586,1.26996836608582
6,0,0,16,1,"B",1,"a d",0.102285518764011,0.503239438073525,1.02752190085926,0.813892862604458,2,"b d",-0.0229138861482665,1.09054277658597,0.741294718934683,0.755573921042497,3,"c d",-0.62384471969645,1.1880292476177,0.559755647701754,0.51449751296561,4,"a e",0.130157552354095,0.609392539314796,1.23325687007498,1.01402178931383,5,"b e",0.739898039745788,1.18395891706605,2.2519508991631,2.56718331075171,6,"c e",0.52476360291432,1.30860398219184,2.5489513191445,2.14090959863407,7,"a f",-0.541334422492863,1.43930969286984,0.44278828459618,0.362223996787239,8,"b f",0.0674489506038648,0.245616696243376,0.63408895072753,0.718295157442671,9,"c f",-0.0292433519956865,1.30739561321432,1.35319130972094,1.31646737046244,10,"a",0.901189018510139,0.834237895068195,11,"b",1.20911152294177,1.73420734410135,12,"c",1.4872994255224,1.66826546502021,13,"d",0.776190755831899,0.718301575885464,14,"e",2.01138636279419,2.05390023334036,15,"f",0.810022848348216,0.957358316114897
7,0,0,24,1,"B",1,"a d",-0.4170428461815,0.851792905423808,0.601346135700909,0.465698233406848,2,"b d",0.397369547884286,1.50533594160169,1.44846879345579,1.73422383374191,3,"c d",0.587690972514642,0.14586937224631,2.31448530175727,1.96513684489317,4,"a e",-0.939106735710283,0.599899852740216,0.350287681573218,0.361487160014525,5,"b e",2.38445200865502,0.288312793909153,13.3102388921985,14.7535558404229,6,"c e",0.177015630914449,0.872990980417934,1.75946440489779,1.65432374801772,7,"a f",1.0001205501507,1.62252823123369,2.13312403726775,1.77638068880736,8,"b f",1.02552520437766,0.119952656010319,2.90384153664213,2.40628523570051,9,"c f",-0.186237397045699,0.50375502367741,0.61804465406613,0.496587391949028,10,"a",1.02825261818062,1.32831454475275,11,"b",5.88751640743213,10.0824774196313,12,"c",1.5639981202404,1.65021897856902,13,"d",1.45476674363799,1.67079928089994,14,"e",5.13999699288983,10.2773058168986,15,"f",1.88500340932533,1.97283822031562
8,0,0,24,1,"B",1,"a d",-1.76383557245668,0.826509431804542,0.194667897913782,0.167981991032134,2,"b d",-0.645303049037511,1.09958456604074,0.496914347524133,0.415872650199915,3,"c d",0.451527974905531,1.50543579811358,1.72461573196879,1.44119759289005,4,"a e",0.902248626227814,0.390776343645938,1.35126307762249,1.24667977792417,5,"b e",0.869512555488496,0.767464293513739,2.19282825893534,2.06982938823713,6,"c e",-1.90317017662911,1.18175095180537,0.141159414357254,0.148870390780457,7,"a f",1.51674939165348,1.52937909243541,4.84096708285989,3.54580790052368,8,"b f",-0.6248229154612,0.370714297799939,0.596315239379065,0.592755498748046,9,"c f",-2.36901965813792,0.344678569968114,0.0962000726185008,0.0823434254718038,10,"a",2.12896601946539,2.92247225200118,11,"b",1.09535261527951,1.47311317430051,12,"c",0.653991739648182,1.12416848264278,13,"d",0.805399325802235,1.08714497281748,14,"e",1.2284169169717,1.61789488449457,15,"f",1.84449413161915,2.96374936407005
9,0,0,40,1,"B",1,"a d",0.759816252145785,1.27273903772163,2.2065145954848,2.4004749555066,2,"b d",0.825846987942903,1.10647790593735,2.43849889725597,1.94025803297008,3,"c d",-0.440025443038116,0.328341711936317,0.536417216479102,0.36072066780327,4,"a e",0.919306295423307,0.138953871712438,2.95315088680891,2.84170909404213,5,"b e",-0.0254568781335403,1.42991710139448,1.04903576431723,0.896609571237468,6,"c e",-2.04439465439359,0.866277679709336,0.14338423897855,0.133865701720927,7,"a f",0.389491111426371,0.322958711396093,1.22703185239856,1.19631166773983,8,"b f",-0.473465866781981,2.05330685251329,0.668359104599656,0.533760252005861,9,"c f",-0.609911077552622,0.74016097220947,0.525820170284474,0.577230500225245,10,"a",2.12889911156409,2.34687799729455,11,"b",1.38529792205762,1.47453231623994,12,"c",0.401873875247375,0.437519786455951,13,"d",1.72714356973996,1.97200813583397,14,"e",1.38185696336823,2.07330046425134,15,"f",0.807070375760897,0.874039282136464
10,0,0,16,1,"B",1,"a d",0.98900616040626,1.74355451337433,2.45579746659423,2.56165736486889,2,"b d",1.01781311351364,0.332270215479794,2.72567316038237,3.26375900708656,3,"c d",-0.417681868651059,0.616909998525659,0.677540252523819,0.477237209484779,4,"a e",-0.349518038500244,1.14590683212313,0.491925073982193,0.431777771078479,5,"b e",-0.423968002539336,0.249960780092098,0.658199081204803,0.967012661554048,6,"c e",-0.184605330158088,0.762628692770876,0.604726936419463,0.59701262995105,7,"a f",-0.386822752594331,0.434990113169276,0.790393667384877,0.618515251079175,8,"b f",-1.30673212064461,1.63573804508606,0.350266143529998,0.300704056727808,9,"c f",-0.965686952786316,4.08607433051326,0.395063907635878,0.352906001454876,10,"a",1.2460387359871,1.74309141309303,11,"b",1.24471279503906,2.20522260731502,12,"c",0.559110365526387,0.490746613234266,13,"d",1.95300362650014,2.53173696468658,14,"e",0.58495036386882,0.690360794423382,15,"f",0.511907906183584,0.480253894490622
