"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","Ms5","SDs5","M5","SD5","Num6","Str6","Ms6","SDs6","M6","SD6","Num7","Str7","Ms7","SDs7","M7","SD7","Num8","Str8","Ms8","SDs8","M8","SD8","Num9","Str9","M9","SD9","Num10","Str10","M10","SD10","Num11","Str11","M11","SD11","Num12","Str12","M12","SD12","Num13","Str13","M13","SD13","Num14","Str14","M14","SD14","Num15","Str15","M15","SD15","Num16","Str16","M16","SD16","Num17","Str17","M17","SD17","Num18","Str18","M18","SD18","Num19","Str19","M19","SD19","Num20","Str20","M20","SD20","Num21","Str21","M21","SD21","Num22","Str22","M22","SD22","Num23","Str23","M23","SD23","Num24","Str24","M24","SD24","Num25","Str25","M25","SD25","Num26","Str26","M26","SD26","offsetSd","offsetProp"
1,0,0,32,1,"W",1,"a c e",-1.46934909317629,0.248119236412627,0.267258446749415,0.257247586302489,2,"b c e",-0.15243728930378,0.794104064316593,0.838426701403769,1.06416419967529,3,"a d e",-1.12187141337606,1.09264408908229,0.585215364547299,1.22254439334103,4,"b d e",0.0634352469191978,2.1343332727931,1.14944445413761,1.61508398447076,5,"a c f",-0.991013202555302,0.181072664639391,0.408631534387518,0.467808424421547,6,"b c f",1.51896004751524,0.127540201128056,6.74738785981803,10.6157839071859,7,"a d f",0.927497225382617,1.31630714600857,2.96854175375043,3.26128624851343,8,"b d f",2.36608147864249,0.361722218030699,16.7697295239002,17.7431938770744,9,"a,c",0.337944990568466,0.381214307092113,10,"b,c",3.7929072806109,8.05467415043718,11,"a,d",1.77687855914887,2.72243064039494,12,"b,d",8.95958698901889,14.7703075555006,13,"a,e",0.426236905648357,0.890889248724006,14,"b,e",0.993935577770691,1.36577732982571,15,"a,f",1.68858664406898,2.64680118261066,16,"b,f",11.7585586918591,15.3582339342749,17,"c,e",0.552842574076592,0.820152961946998,18,"d,e",0.867329909342455,1.44908353433191,19,"c,f",3.57800969710277,8.10956950036404,20,"d,f",9.8691356388253,14.4402045491002,21,"a",1.05741177485867,2.066502597726,22,"b",6.37624713481489,12.1297874629341,23,"c",2.06542613558968,5.93828613542954,24,"d",5.36823277408388,11.1757820584952,25,"e",0.710086241709524,1.18332240542675,26,"f",6.72357266796404,12.0844912221377,0.5,0.5
2,0,0,40,1,"W",1,"a c e",1.12401999393979,0.83344093667155,3.15056883200499,4.2834820763176,2,"b c e",1.75752628193127,1.02306302223806,4.56521847325589,7.33562558759827,3,"a d e",-0.141298202995106,1.18768057510535,1.53593186850455,5.03509620650557,4,"b d e",0.731502850886494,0.45543772278188,2.31070326698623,4.12633857111325,5,"a c f",-0.722192089092555,0.382712324878894,0.590349149386209,1.48837534406031,6,"b c f",0.272431460311039,0.502699233191634,2.10687639824753,5.84873951861342,7,"a d f",-1.11866347617945,0.790364892923827,0.415604369353128,0.72681302734308,8,"b d f",0.245549069771725,0.278876641389824,1.17310962561258,1.68825132531401,9,"a,c",1.8704589906956,3.43671577681858,10,"b,c",3.33604743575171,6.70689804279353,11,"a,d",0.975768118928837,3.61858819686526,12,"b,d",1.74190644629941,3.18437646650145,13,"a,e",2.34325035025477,4.71525552450306,14,"b,e",3.43796087012106,6.02141916715135,15,"a,f",0.502976759369668,1.1671014082953,16,"b,f",1.63999301193006,4.30292558848065,17,"c,e",3.85789365263044,6.01080241602271,18,"d,e",1.92331756774539,4.59055318234465,19,"c,f",1.34861277381687,4.30850599332262,20,"d,f",0.794356997482855,1.34651835673386,21,"a",1.42311355481222,3.54621717481534,22,"b",2.53897694102556,5.29408562364087,23,"c",2.60325321322366,5.36269681164638,24,"d",1.35883728261412,3.41932999888234,25,"e",2.89060561018791,5.4187737927348,26,"f",1.07148488564986,3.19395900837927,0.9,0.9
3,0,0,24,1,"W",1,"a c e",-0.47969896975114,1.06252707468037,0.4756299946406,0.508211738933785,2,"b c e",-1.58357221558525,1.45025201443985,0.165815538536949,0.183291541505321,3,"a d e",-0.537420756968071,0.548628387068384,0.648279495203859,0.847432673048376,4,"b d e",-0.902024096744026,1.63297576820292,0.412671105277255,0.47587864434675,5,"a c f",-0.847047631101503,1.16932692545663,0.447567747759661,0.409308826415658,6,"b c f",-0.801108284131993,0.156552856305962,0.454756583519955,0.31540710272337,7,"a d f",1.49715327827556,0.686774665328135,2.87263052205904,3.33043259437175,8,"b d f",1.17447560724845,0.454485742621834,3.38221484010447,4.1722412314121,9,"a,c",0.46159887120013,0.456702945421251,10,"b,c",0.310286061028452,0.294004776749899,11,"a,d",1.76045500863145,2.65378528573626,12,"b,d",1.89744297269086,3.29861866509704,13,"a,e",0.56195474492223,0.696730728232164,14,"b,e",0.289243321907102,0.377915512809022,15,"a,f",1.66009913490935,2.64790321734221,16,"b,f",1.91848571181221,3.27953988858985,17,"c,e",0.320722766588774,0.409071186241493,18,"d,e",0.530475300240557,0.690235790875129,19,"c,f",0.451162165639808,0.36149728042318,20,"d,f",3.12742268108175,3.74336806978774,21,"a",1.11102693991579,2.00339944979246,22,"b",1.10386451685966,2.46218096110828,23,"c",0.385942466114291,0.389537700149871,24,"d",1.82894899066115,2.97861335551934,25,"e",0.425599033414666,0.574115769387178,26,"f",1.78929242336078,2.96761586645671,0.1,0.1
4,0,0,32,1,"W",1,"a c e",0.202414570140127,0.442001840329087,1.33788878178085,1.83098089067651,2,"b c e",0.389397638000035,0.0748853521275272,1.3013245130738,1.05006394125985,3,"a d e",0.105783032766884,0.196120178203958,1.34193920246078,1.55329043354226,4,"b d e",0.165657818600744,0.201841837435774,1.36362153541811,1.23470744963894,5,"a c f",0.0613170450281277,0.498832652941597,1.22179831773898,1.41922792656779,6,"b c f",0.459717111909207,0.148279628086653,1.36877543775112,1.67443444562466,7,"a d f",-1.20795897266681,0.137806070528375,0.291397702269429,0.270780010836204,8,"b d f",-0.625738823307343,0.778654003959904,0.473804125215618,0.425240016440709,9,"a,c",1.27984354975991,1.62609327691908,10,"b,c",1.33504997541246,1.38684356032947,11,"a,d",0.816668452365105,1.22620346870124,12,"b,d",0.918712830316863,1.01991034983441,13,"a,e",1.33991399212082,1.68429501278665,14,"b,e",1.33247302424596,1.13741097316821,15,"a,f",0.756598010004203,1.11671105996069,16,"b,f",0.921289781483367,1.29306410867947,17,"c,e",1.31960664742733,1.48072416601867,18,"d,e",1.35278036893945,1.3919333667912,19,"c,f",1.29528687774505,1.54149861945624,20,"d,f",0.382600913742523,0.365388054458736,21,"a",1.04825600106251,1.45313540415462,22,"b",1.12688140286466,1.23035926923724,23,"c",1.30744676258619,1.50550416795109,24,"d",0.867690641340985,1.12450205276913,25,"e",1.33619350818339,1.43144285099915,26,"f",0.838943895743785,1.20618036455806,0.5,0.5
5,0,0,24,1,"W",1,"a c e",0.971628309577628,0.231481625403317,3.05873324683629,5.06238415189767,2,"b c e",-0.298478485309898,0.180087013249424,0.939645810170259,1.61555824699095,3,"a d e",1.28086561383308,0.26635633751079,6.6111948432651,12.7495997518321,4,"b d e",-0.30133692386094,0.227274278893072,1.25998736613553,3.89341076342233,5,"a c f",0.168180934649101,1.22122555729029,1.16261975066853,1.84168403482647,6,"b c f",1.3022586499985,2.13379694220839,4.10634583037185,6.04422498752032,7,"a d f",-0.803348758134951,1.71578480065799,0.471515919809373,0.706920442571878,8,"b d f",0.694978401301416,0.623973678451172,1.28845432712016,1.67221992893454,9,"a,c",2.11067649875241,3.8883137091917,10,"b,c",2.52299582027105,4.65996439500278,11,"a,d",3.54135538153724,9.45599504233422,12,"b,d",1.27422084662784,2.96423346725291,13,"a,e",4.83496404505069,9.76269541695082,14,"b,e",1.09981658815289,2.9532202706907,15,"a,f",0.81706783523895,1.42348714598098,16,"b,f",2.697400078746,4.61231602797605,17,"c,e",1.99918952850327,3.86846194913444,18,"d,e",3.93559110470031,9.70958805058439,19,"c,f",2.63448279052019,4.66368670213744,20,"d,f",0.879985123464765,1.33542525222896,21,"a",2.82601594014482,7.22733190882993,22,"b",1.89860833344945,3.93502237050514,23,"c",2.31683615951173,4.27389875202993,24,"d",2.40778811408254,7.06278320238489,25,"e",2.96739031660179,7.41571817854972,26,"f",1.75723395699248,3.52426924078728,0.9,0.9
6,0,0,8,1,"W",1,"a c e",0.251477287554101,0.414774771317894,1.57278123649171,2.22010278518078,2,"b c e",-0.60169492538196,1.11987124303513,0.448998247263596,0.387962826378706,3,"a d e",1.10015503812008,0.545663480592779,3.92322086905394,3.22506735590508,4,"b d e",-1.05552946154452,1.23839538616978,0.131374034115163,0.130361692292143,5,"a c f",-0.812910023813703,1.94671158373954,0.326745325275981,0.214418013268327,6,"b c f",-0.0274892450534151,0.235879052640188,0.584973215385111,0.388482908593885,7,"a d f",-0.52012689952206,0.956791279949561,0.953924494414664,0.989389584303299,8,"b d f",-0.180314022642097,1.45313470668522,0.804139124597953,0.722650279349256,9,"a,c",0.949763280883847,1.65396981424343,10,"b,c",0.516985731324354,0.381575299888224,11,"a,d",2.4385726817343,2.76799015219047,12,"b,d",0.467756579356558,0.610189841897043,13,"a,e",2.74800105277283,2.93720589056472,14,"b,e",0.290186140689379,0.32415077164758,15,"a,f",0.640334909845322,0.763652743001184,16,"b,f",0.694556169991532,0.571788513271368,17,"c,e",1.01088974187766,1.64533995570213,18,"d,e",2.02729745158455,2.94888436559923,19,"c,f",0.455859270330546,0.331158064545756,20,"d,f",0.879031809506308,0.840537481156924,21,"a",1.69416798130907,2.36706713788061,22,"b",0.492371155340456,0.501235839308128,23,"c",0.7333745061041,1.20102925077753,24,"d",1.45316463054543,2.21129392687307,25,"e",1.5190935967311,2.40503916963204,26,"f",0.667445539918427,0.664178702086134,0.1,0.1
7,0,0,8,1,"W",1,"a c e",-0.161041344176445,0.793332887910205,1.23435275774971,0.903961528702512,2,"b c e",-0.0676869739970578,1.39396270397629,0.403190231981828,0.394578971035497,3,"a d e",0.776439813931284,0.408251028986419,2.85162647287368,2.42657096402456,4,"b d e",0.374195227628926,0.0665136988626514,2.38229134936589,2.45612403425521,5,"a c f",-0.90961552686827,0.122809980819021,0.770507077505472,0.817103918872638,6,"b c f",-1.06642560562063,0.649551420113863,0.286122111497082,0.146971475700972,7,"a d f",-1.23542564136865,0.13530696687935,0.6195995210767,0.825105964033827,8,"b d f",1.58329841763515,1.43174098799989,8.19532687470215,4.83257177644502,9,"a,c",1.00242991762759,0.86618889693505,10,"b,c",0.344656171739455,0.293924256990061,11,"a,d",1.73561299697519,2.0962045498394,12,"b,d",5.28880911203402,4.76703677909215,13,"a,e",2.04298961531169,1.95618759666641,14,"b,e",1.39274079067386,1.98301167896258,15,"a,f",0.695053299291086,0.797090669254873,16,"b,f",4.24072449309962,5.25261543785165,17,"c,e",0.818771494865767,0.798882454652191,18,"d,e",2.61695891111979,2.37102854247243,19,"c,f",0.528314594501277,0.619856498636419,20,"d,f",4.40746319788943,5.14981183171137,21,"a",1.36902145730139,1.62108894327088,22,"b",2.81673264188674,4.16483997759103,23,"c",0.673543044683522,0.718678233815125,24,"d",3.51221105450461,4.04723050897582,25,"e",1.71786520299278,1.96557195776196,26,"f",2.46788889619535,4.11117325225352,0.5,0.5
8,0,0,32,1,"W",1,"a c e",-0.87382974329115,1.43077952446829,0.697105568098159,1.28410928515752,2,"b c e",1.41289899353872,0.794319472358995,4.28259484764374,5.18725527384567,3,"a d e",0.791088566234707,0.198815888152196,2.61322592718813,3.84446585801525,4,"b d e",0.332930171634097,1.43014645475566,2.05454165567,2.21782260465234,5,"a c f",-0.00541533462162253,1.39494707165099,1.34353544554338,2.01565121323951,6,"b c f",-0.0412596053279727,0.434911213387278,0.859928528175834,0.965990192128858,7,"a d f",2.03860307876343,0.959535020595574,8.9901331702447,7.97756540481994,8,"b d f",1.56809698810299,1.7627094888746,6.92671844006747,8.82842079433807,9,"a,c",1.02032050682077,1.70783128949477,10,"b,c",2.57126168790978,4.08345033826129,11,"a,d",5.80167954871641,6.99399360103734,12,"b,d",4.49063004786873,6.84112445685183,13,"a,e",1.65516574764314,3.00274678953026,14,"b,e",3.16856825165687,4.11355583687463,15,"a,f",5.16683430789404,6.9400650651821,16,"b,f",3.89332348412165,6.93964194599126,17,"c,e",2.48985020787095,4.16132020008317,18,"d,e",2.33388379142906,3.1260613432159,19,"c,f",1.10173198685961,1.58673870992318,20,"d,f",7.95842580515608,8.41123809318158,21,"a",3.41100002776859,5.6100448242335,22,"b",3.53094586788926,5.69351535976397,23,"c",1.79579109736528,3.21318937803888,24,"d",5.14615479829257,6.92204616550254,25,"e",2.41186699965001,3.66659282343675,26,"f",4.53007889600784,6.9419731936876,0.9,0.9
9,0,0,24,1,"W",1,"a c e",0.0505992256064708,1.65161514942177,0.767232778274044,0.798713222445509,2,"b c e",0.0439297436559449,1.06723803957742,1.02071355126224,1.02789496605965,3,"a d e",0.896784593007478,0.358546575584369,1.84955558422766,1.41663758457223,4,"b d e",1.67144937283127,1.40207541630478,4.10429864264371,6.05534114716716,5,"a c f",-0.814515193667445,0.372261025883079,0.356530604678331,0.425723119511915,6,"b c f",-0.15163213708492,1.6893479889163,0.795764557190312,0.821050277898258,7,"a d f",-1.02218879064167,1.01892134236832,0.356269093702947,0.320305793032516,8,"b d f",0.0787345711932959,1.63214316759658,0.933897737892375,0.770701476490793,9,"a,c",0.561881691476188,0.666290524890536,10,"b,c",0.908239054226278,0.927283057856499,11,"a,d",1.1029123389653,1.26555332273378,12,"b,d",2.51909819026804,4.56075641769884,13,"a,e",1.30839418125085,1.26228080973412,14,"b,e",2.56250609695298,4.57036621977744,15,"a,f",0.356399849190639,0.372690855233511,16,"b,f",0.864831147541343,0.790843459985334,17,"c,e",0.893973164768144,0.919583394403875,18,"d,e",2.97692711343568,4.49706481004369,19,"c,f",0.576147580934321,0.683988357604633,20,"d,f",0.645083415797661,0.652737594243265,21,"a",0.832397015220745,1.04209732276025,22,"b",1.71366862224716,3.37219809835724,23,"c",0.735060372851233,0.821792508029274,24,"d",1.81100526461667,3.40438389130485,25,"e",1.93545013910191,3.39408515125841,26,"f",0.610615498365991,0.665919659109481,0.1,0.1
10,0,0,32,1,"W",1,"a c e",0.676718200768231,0.130308405695055,1.95772944697243,2.39849625624582,2,"b c e",0.508886511072021,0.0991341513748666,2.24115457622997,2.08936959951949,3,"a d e",0.738711608316942,0.0417028651330693,2.55807264718795,2.45932487858307,4,"b d e",1.58570833633413,0.538634166176585,7.19750224888036,8.56796055760272,5,"a c f",-0.0465571938213128,1.37612538229554,1.21619222808677,1.7551109553725,6,"b c f",0.23031464325615,0.188370293761822,1.79305897582156,2.1454271179511,7,"a d f",0.893728416441769,0.295115210452565,3.12968980241231,3.94677724528235,8,"b d f",0.295193965128933,1.6177070367886,1.23862867680543,1.05912902422829,9,"a,c",1.5869608375296,2.11805241708446,10,"b,c",2.01710677602577,2.11281292514891,11,"a,d",2.84388122480013,3.27475469263167,12,"b,d",4.21806546284289,6.75960640651408,13,"a,e",2.25790104708019,2.42866332355249,14,"b,e",4.71932841255517,6.67152671977222,15,"a,f",2.17294101524954,3.17970994296389,16,"b,f",1.5158438263135,1.70145247644083,17,"c,e",2.0994420116012,2.23589410728179,18,"d,e",4.87778744803415,6.675700960391,19,"c,f",1.50462560195417,1.96600406683701,20,"d,f",2.18415923960887,3.02077659315274,21,"a",2.21542103116486,2.81838105765251,22,"b",3.11758611943433,5.10893860639513,23,"c",1.80203380677768,2.11812325988274,24,"d",3.53097334382151,5.33496485426319,25,"e",3.48861472981768,5.15091878606422,26,"f",1.84439242078152,2.56131593502363,0.5,0.5
