"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,40,"within","1","5","a","6","b",117,117.000000000001,117,4.45314051081855,2.16069266431139,4.45314051081855,1.94598130743091e-05,0.0327577250344573,1.94598130743091e-05,0.00536525374983035
1,40,"within","2","7","c","8","d",117.000000000001,117.000000000001,117.000000000001,-2.98959711223947,-2.71265492861472,-2.98959711223947,0.00340574559718469,0.00768226254219801,0.00340574559718469,0.00677912293274303
1,40,"within","3","1","a c","2","b c",117.000000000001,117.000000000001,117.000000000001,3.74487250059884,3.2383105357618,6.06033895445348,0.000281554457756158,0.00156497904701077,1.70107821965369e-08,0.000336437338773976
1,40,"within","4","1","a c","3","a d",117.000000000001,117.000000000001,117.000000000001,3.8023175864371,-0.207666594275391,0.815201170991588,0.000229319045598046,0.835850337742417,0.41661352760463,0.544800451107221
1,40,"within","5","1","a c","4","b d",117.000000000001,117.000000000001,117.000000000001,1.30482409261187,-0.390296260047963,0.852915104169135,0.194513341197673,0.697027160491654,0.395449061345123,0.527213339100854
1,40,"within","6","2","b c","3","a d",117.000000000001,117.000000000001,117.000000000001,0.0574450858382583,-3.44597713003719,5.24513778346189,0.954288641076501,0.000791008107521226,7.03641469960771e-07,1.40518750413321e-06
1,40,"within","7","2","b c","4","b d",117.000000000001,117.000000000001,117.000000000001,-2.44004840798697,-3.62860679580977,-5.20742385028434,0.0161852369093013,0.000423747153223383,8.30038014821986e-07,2.4437304091407e-06
1,40,"within","8","3","a d","4","b d",117.000000000001,117.000000000001,117.000000000001,-2.49749349382523,-0.182629665772572,0.0377139331775463,0.0138977182540431,0.855404681970805,0.969980040757392,0.734557310062883
2,16,"within","9","5","a","6","b",45,45,45,1.8855604368068,2.03213588498346,1.8855604368068,0.0658198096540072,0.0480678763670548,0.0658198096540072,0.0252704131416976
2,16,"within","10","7","c","8","d",45,45,45,-2.32460362343909,-1.86553192490888,-2.32460362343909,0.024664062769746,0.0686341837920164,0.024664062769746,0.0413399673998356
2,16,"within","11","1","a c","2","b c",45,45,45.0000000000001,0.661905443603582,2.38648088147018,2.12760966464009,0.511407334765917,0.0212763270927682,0.0388829997705197,0.01824951171875
2,16,"within","12","1","a c","3","a d",45.0000000000001,45,45,0.49362439861962,-0.369586457717215,-0.846341966044678,0.623972191083413,0.713424245213322,0.401840356678513,0.348388671875
2,16,"within","13","1","a c","4","b d",45,45,45.0000000000001,-0.392655771629244,0.117806789941269,-0.246849740096364,0.696427586812073,0.906745022378795,0.806147208075361,0.433197021484375
2,16,"within","14","2","b c","3","a d",45,45,45.0000000000001,-0.168281044983962,-2.7560673391874,2.97395163068477,0.867116262731186,0.00841772778687849,0.00471213666135752,0.01824951171875
2,16,"within","15","2","b c","4","b d",45.0000000000001,45,45.0000000000001,-1.05456121523283,-2.26867409152891,-2.37445940473646,0.297255390185651,0.0281334843035665,0.0218997395677647,0.065399169921875
