"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
1,8,"between","1","5","a","6","b",28,28,28,0.841003443567531,1.21533378602607,0.841003443567531,0.407471091307149,0.234387468151407,0.407471091307149,0.254227272328748
1,8,"between","2","7","c","8","d",28,28,28,-0.876397826231782,-1.18394204238979,-0.876397826231782,0.388271000105553,0.246389834439843,0.388271000105553,0.401635997474481
1,8,"between","3","1","a c","2","b c",28,28,28,-0.179639094181737,1.31237887250229,1.52114007503808,0.858729620890317,0.200049215889505,0.1394385699226,0.13038073038073
1,8,"between","4","1","a c","3","a d",28,28,28,0.641568193506197,-0.38416533570754,0.0800600039493723,0.526371167193588,0.703757991827172,0.936759019308884,0.959129759129759
1,8,"between","5","1","a c","4","b d",28,28,28,0.153976366441487,0.0221973147984797,0.213493343864993,0.878732815337309,0.982447993953869,0.832489123726566,0.798445998445998
1,8,"between","6","2","b c","3","a d",28,28,28,0.821207287687934,-1.69654420820983,1.44108007108871,0.418465686233352,0.100874588993544,0.160652717384918,0.234498834498834
1,8,"between","7","2","b c","4","b d",28,28,28,0.333615460623224,-1.29018155770381,-1.30764673117309,0.741155347913602,0.207541386766965,0.201628733088983,0.194871794871795
1,8,"between","8","3","a d","4","b d",28,28,28,-0.48759182706471,0.40636265050602,0.133433339915621,0.629635058243747,0.687565397849498,0.894805084264421,0.959129759129759
2,24,"between","9","5","a","6","b",92,92,92,0.563603247978851,0.465476435465289,0.563603247978851,0.574395392486756,0.642690320696231,0.574395392486756,0.664239529434435
2,24,"between","10","7","c","8","d",92,92,92,2.34612423911551,2.41772227980707,2.34612423911551,0.0211172224977133,0.0175889430467952,0.0211172224977133,0.0237704496209497
2,24,"between","11","1","a c","2","b c",92,92,92,-0.558051814805398,-0.0728455212927288,-0.105142420437939,0.578164523743233,0.94208718603465,0.916491696943114,0.95927643725843
2,24,"between","12","1","a c","3","a d",92,92,92,-0.655326901789825,1.3076007537846,1.19862359299251,0.513892636840402,0.194267021897331,0.233752763390195,0.214346278801561
2,24,"between","13","1","a c","4","b d",92,92,92,0.00511974142023395,2.03872936307743,1.93462053605809,0.995926140511626,0.0443467486687989,0.056109245530732,0.0777977717618994
2,24,"between","14","2","b c","3","a d",92,92,92,-0.0972750869844273,1.38044627507733,-1.30376601343045,0.922719545417203,0.17079416093337,0.195566301539321,0.255039588028929
2,24,"between","15","2","b c","4","b d",92,92,92,0.563171556225632,2.11157488437016,2.03976295649603,0.574688064185777,0.0374337973312261,0.0442414770381612,0.0302666613325909
2,24,"between","16","3","a d","4","b d",92,92,92,0.660446643210059,0.731128609292826,0.735996943065576,0.510617538665011,0.466558664176634,0.463604980111674,0.506231587263128
3,8,"between","17","5","a","6","b",28,28,28,-2.46455688350952,-2.36935932088311,-2.46455688350952,0.020118221402223,0.0249492283521924,0.0201182214022231,0.0151847542389463
3,8,"between","18","7","c","8","d",28,28,28,-0.107500941170594,-0.408956873278967,-0.107500941170594,0.915158182894282,0.685682593707418,0.915158182894282,0.925995689195583
3,8,"between","19","1","a c","2","b c",28,28,28,-0.102005165963861,-1.74335370175781,-1.82713242908701,0.919479580625872,0.0922446270074774,0.0783576267698404,0.13038073038073
3,8,"between","20","1","a c","3","a d",28,28,28,0.255012914909651,-0.357139837202214,0.0562194593565222,0.800576942993813,0.723664867600559,0.955566243017333,0.878477078477078
3,8,"between","21","1","a c","4","b d",28,28,28,0.459023246837372,-1.9645662211724,-1.71469351037396,0.649761096254239,0.0594592635679937,0.0974511240986499,0.160528360528361
