"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","M5","SD5","Num6","Str6","M6","SD6","Num7","Str7","M7","SD7","Num8","Str8","M8","SD8","offsetSd","offsetProp"
1,0,0,32,1,"W",1,"a c",-3.59742774489128,0.993815610674211,0.0295841212003357,0.0375355048411948,2,"b c",0.969251452121012,0.147167708752007,3.59852470841294,5.18026668403913,3,"a d",1.44471248993243,1.96580325749585,3.81587600477173,5.31803323814454,4,"b d",-0.0436460821105258,0.0136041208670664,0.967047730050852,1.05309761946733,5,"a",1.92273006298603,4.19021077463895,6,"b",2.2827862192319,3.9381412107444,7,"c",1.81405441480664,4.05464874768873,8,"d",2.39146186741129,4.06486770569759,0.5,0.5
2,0,0,32,1,"W",1,"a c",-2.62992696155248,1.65683910612204,0.117276957799028,0.282951521387465,2,"b c",1.27038344518817,0.548997886842316,6.37119872764137,12.1200081379832,3,"a d",0.312267245063946,1.56025737355119,1.48923335773157,1.92221374204475,4,"b d",-0.614162783643819,0.251542129671028,1.49142773678645,4.17763240068264,5,"a",0.8032551577653,1.52825356313321,6,"b",3.93131323221391,9.32291777740789,7,"c",3.2442378427202,9.06939649357058,8,"d",1.49033054725901,3.22582126752317,0.9,0.9
3,0,0,32,1,"W",1,"a c",0.0363562234048126,0.0449315434703694,0.908043065961116,1.01159536025105,2,"b c",-0.945454160842915,1.16114363042167,0.361905447847159,0.330657292237157,3,"a d",-0.075343885597376,0.656261890644447,0.813241006344435,0.708526322753549,4,"b d",-0.0167573518577854,0.824464405441826,1.14723263291768,0.816679611350435,5,"a",0.860642036152776,0.867665864464813,6,"b",0.754569040382419,0.733907950300837,7,"c",0.634974256904138,0.795669855742307,8,"d",0.980236819631057,0.776878529988243,0.1,0.1
4,0,0,8,1,"W",1,"a c",-0.609610991881935,0.137571425187045,0.697157270112328,0.885993650951097,2,"b c",1.72161767179038,0.361677834425623,3.59771145534454,3.07669078349838,3,"a d",-0.537326954081109,0.0502551753925197,0.331624304750081,0.261137513694319,4,"b d",-1.57345683577404,0.509560490861477,0.274808484756171,0.518701514403546,5,"a",0.514390787431205,0.658619781520659,6,"b",1.93625997005035,2.73632696238271,7,"c",2.14743436272843,2.65091097314865,8,"d",0.303216394753126,0.397795641364357,0.5,0.5
5,0,0,32,1,"W",1,"a c",-0.0549205110986385,0.343117270578444,1.1032366500089,1.31257951665684,2,"b c",1.10366428325854,0.27484015682795,6.46056119981856,10.4238739673602,3,"a d",-1.21742803047394,0.611385211211289,0.440573601680357,1.04873506096994,4,"b d",-0.0170124156968885,0.212055213465489,1.11916774758393,1.12117134780961,5,"a",0.771905125844629,1.22493908974075,6,"b",3.78986447370125,7.83138489265044,7,"c",3.78189892491373,7.84876417229555,8,"d",0.779870674632146,1.12990253291295,0.9,0.9
6,0,0,16,1,"W",1,"a c",-0.633408582509231,0.686887602539277,0.650554592362354,0.526021374185352,2,"b c",-0.122006530093246,1.37252819940407,0.569550421105878,0.42468631534872,3,"a d",0.437519658850094,1.26109122079843,1.77212587484881,1.8075939007824,4,"b d",0.884144753437108,0.712760308181137,3.07736330788692,4.27338415034343,5,"a",1.21134023360558,1.42811391609049,6,"b",1.8234568644964,3.24755770389323,7,"c",0.610052506734116,0.472069831297282,8,"d",2.42474459136787,3.29499755323769,0.1,0.1
7,0,0,40,1,"W",1,"a c",-0.266508402378594,0.638142757002759,1.1042948074103,1.61033675228342,2,"b c",1.00233827386181,0.861666088899451,3.96468043976373,4.25243883316292,3,"a d",-1.44400618631058,0.36501709932942,0.249086055264054,0.271153164093989,4,"b d",1.12984027114814,1.25764280206095,4.13270690465966,5.34962493247029,5,"a",0.676690431337178,1.22541272544496,6,"b",4.04869367221169,4.80233573553405,7,"c",2.53448762358701,3.50409618938367,8,"d",2.19089647996186,4.24060935038156,0.5,0.5
8,0,0,8,1,"W",1,"a c",2.43939010169321,0.141401184259871,16.0128547386609,12.7947341875565,2,"b c",1.35883057284322,0.102974496877416,2.76982582680199,3.13502541918525,3,"a d",-0.540390159181928,0.169289858359542,0.440012184044528,0.472614620589605,4,"b d",0.286767681715575,0.0751840911601996,1.60817619247886,2.08711394207458,5,"a",8.22643346135273,11.881508920706,6,"b",2.18900100964043,2.64182667100715,7,"c",9.39134028273146,11.3026442634913,8,"d",1.02409418826169,1.5814401223776,0.9,0.9
9,0,0,32,1,"W",1,"a c",-0.752752716626776,0.619474017108576,0.389869673314554,0.381445067022215,2,"b c",-0.815702736165375,0.921621261865533,0.511292202625627,0.608773030561515,3,"a d",-1.96478100492322,1.12482911346045,0.178836598153552,0.181518003372165,4,"b d",1.53295183721485,1.33464230474734,3.43368118070669,3.41932663858823,5,"a",0.284353135734053,0.314831328154353,6,"b",1.97248669166616,2.8468308601426,7,"c",0.450580937970091,0.507642357682113,8,"d",1.80625888943012,2.90858406330688,0.1,0.1
10,0,0,40,1,"W",1,"a c",-0.401282370648326,0.410252590775133,0.707530884221612,0.665374963191675,2,"b c",-0.017907286278076,0.123778775894564,1.09062272316664,1.55374889727561,3,"a d",0.745183658528696,1.510494110995,2.10400693449863,2.71224945752934,4,"b d",0.359144948979467,0.321047111041974,1.47875176761927,2.06506725193907,5,"a",1.40576890936012,2.08419223547539,6,"b",1.28468724539295,1.82624946077256,7,"c",0.899076803694125,1.20312202923387,8,"d",1.79137935105895,2.41574496619825,0.5,0.5
