"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
1,8,"between","1","5","a","6","b",28,28,28,0.641754489919603,1.37177283229437,0.641754489919603,0.526251948867473,0.181026668080477,0.526251948867473,0.589580811312111
1,8,"between","2","7","c","8","d",28,28,28,-0.0489157783899176,0.442383370499351,-0.0489157783899176,0.961333676553422,0.66161029661229,0.961333676553422,0.668930879611627
1,8,"between","3","1","a c","2","b c",28,28,28,-2.842818241148,1.19122025057583,-1.49374900890846,0.00825524545418827,0.243567379187914,0.146425780152965,0.13038073038073
1,8,"between","4","1","a c","3","a d",28,28,28,-2.12355097531537,0.534042659777256,-2.26934945584169,0.042678393436001,0.597526917914107,0.0311448649027496,0.104895104895105
1,8,"between","5","1","a c","4","b d",28,28,28,-4.76086428336833,1.28280215312708,0.0861778274370257,5.33250924261535e-05,0.210079107087913,0.931938366018482,0.959129759129759
1,8,"between","6","2","b c","3","a d",28,28,28,0.719267265832624,-0.657177590798574,0.775600446933237,0.477936912712571,0.516432778815576,0.444486757646087,0.234498834498834
1,8,"between","7","2","b c","4","b d",28,28,28,-1.91804604222034,0.0915819025512486,1.57992683634548,0.0653559210608999,0.927682306490068,0.125355627774364,0.082983682983683
1,8,"between","8","3","a d","4","b d",28,28,28,-2.63731330805296,0.748759493349823,2.35552728327872,0.0134841511427236,0.460246284257626,0.0257333253320013,0.0498834498834499
2,32,"between","9","5","a","6","b",124,124,124,0.567939494561934,1.14971699332265,0.567939494561933,0.571103005592901,0.252473081427486,0.571103005592901,0.000734374171976209
2,32,"between","10","7","c","8","d",124,124,124,-0.030649432497062,0.963710137895616,-0.030649432497062,0.975598395950358,0.337066910763514,0.975598395950358,0.53714063805842
2,32,"between","11","1","a c","2","b c",124,124,124,-7.24913342095813,0.170539495806512,5.01031712178297,3.94518744493159e-11,0.864863826445227,1.8261571273063e-06,1.6122039215801e-06
2,32,"between","12","1","a c","3","a d",124,124,124,-6.82754484587219,0.0390127869868719,1.94195503041369,3.42280084751932e-10,0.96894293498641,0.0544102546879909,0.100247724927935
2,32,"between","13","1","a c","4","b d",124,124,124,-14.5256427234153,1.49441865602807,2.11749898796521,1.55796926067186e-28,0.13760667700009,0.0362147012619128,0.0349740681566743
2,32,"between","14","2","b c","3","a d",124,124,124,0.421588575085935,-0.131526708819641,3.06836209136928,0.674055290238116,0.895571825032979,0.00264387777816036,0.00872529283580264
2,32,"between","15","2","b c","4","b d",124,124,124,-7.27650930245721,1.32387916022155,-2.89281813381776,3.42291532784137e-11,0.187978548017886,0.0045110993387595,0.00335448157581988
2,32,"between","16","3","a d","4","b d",124,124,124,-7.69809787754315,1.45540586904119,0.17554395755152,3.75326533100223e-12,0.148083952584363,0.860938573683839,0.815497201349583
3,16,"between","17","5","a","6","b",60,60,60,-2.92957966068182,-2.2371995118276,-2.92957966068182,0.00479363124785279,0.0290000578379858,0.00479363124785279,0.00872529283580264
3,16,"between","18","7","c","8","d",60,60,60,-2.2269617822729,-0.569918697629172,-2.2269617822729,0.0297141067015932,0.570860737760424,0.0297141067015932,0.0665934974970477
3,16,"between","19","1","a c","2","b c",60,60,60,3.36398603273427,-0.388698632459852,-0.977713337733385,0.00134325364407987,0.698875038420062,0.332141895554524,0.341380579725783
3,16,"between","20","1","a c","3","a d",60,60,60,0.693185000684638,0.790246937402082,-0.391085335093353,0.490868138053271,0.432495874144674,0.697119496172574,0.838059800952748
3,16,"between","21","1","a c","4","b d",60,60,60,1.40675779550706,-1.98493232149912,-3.40655910305,0.164657975492252,0.051729485759622,0.00117949712087323,0.0010597783767326
3,16,"between","22","2","b c","3","a d",60,60,60,-2.67080103204964,1.17894556986193,-0.586628002640032,0.00972480476336418,0.243073952317096,0.559654332512962,0.539149690110503
3,16,"between","23","2","b c","4","b d",60,60,60,-1.95722823722722,-1.59623368903927,-2.42884576531662,0.0549775603462535,0.115690750879089,0.0181598807629615,0.0151847542389463
3,16,"between","24","3","a d","4","b d",60,60,60,0.713572794822422,-2.7751792589012,-3.01547376795665,0.478257918977876,0.00734577602672463,0.00375804873222339,0.0107555297220726
4,40,"between","25","5","a","6","b",156,156,156,1.28095559342638,-0.457152442936763,1.28095559342638,0.202110290931133,0.648197453131807,0.202110290931132,0.326529761212562
4,40,"between","26","7","c","8","d",156,156,156,-0.514965794019461,-0.270973214583132,-0.514965794019461,0.607305818473137,0.786769844683058,0.607305818473137,0.629177059057499
4,40,"between","27","1","a c","2","b c",156,156,156,2.7732936945014,-1.46097810060207,1.04693663296171,0.00622619224107602,0.146032676091165,0.296748210760289,0.272190654529987
4,40,"between","28","1","a c","3","a d",156,156,156,1.07836442486463,-1.32932950571714,0.0144073848572715,0.282535752727385,0.185680040174102,0.988523376930145,0.867016402449045
4,40,"between","29","1","a c","4","b d",156,156,156,3.33743804639817,-0.514862589988231,0.350579698193601,0.00105721397196683,0.607377771186834,0.726376634388764,0.635629867241259
4,40,"between","30","2","b c","3","a d",156,156,156,-1.69492926963677,0.131648594884931,1.03252924810444,0.0920840267928556,0.895431881891834,0.303422327234713,0.401855936921588
4,40,"between","31","2","b c","4","b d",156,156,156,0.564144351896774,0.946115510613838,-0.696356934768109,0.57346606786258,0.345552837668452,0.487241572463788,0.412728984089183
4,40,"between","32","3","a d","4","b d",156,156,156,2.25907362153354,0.814466915728907,0.336172313336329,0.0252641676092061,0.416619090681021,0.737192675453173,0.741275357210273
5,32,"between","33","5","a","6","b",124,124,124,-0.166372456439593,-0.956105007387048,-0.166372456439593,0.868134827710148,0.340879489611033,0.868134827710149,0.126669406373609
5,32,"between","34","7","c","8","d",124,124,124,-0.240742702187923,-0.960484059732423,-0.240742702187923,0.810152128254046,0.338680796293586,0.810152128254046,0.00017815867618438
5,32,"between","35","1","a c","2","b c",124,124,124,5.94935459536151,-1.34467395969383,-1.88867835792505,2.56165557162058e-08,0.181185058541422,0.0612709562023033,0.0246620159622122
5,32,"between","36","1","a c","3","a d",124,124,124,4.84285698463251,-1.34777041730241,-3.55874309187775,3.73687337690957e-06,0.180189451047967,0.000528962587698822,0.00141921292781899
5,32,"between","37","1","a c","4","b d",124,124,124,12.984620799392,-1.35523312610818,-3.97088353051415,7.15589477372696e-25,0.177806870670378,0.000120561531282174,0.000447811704075412
5,32,"between","38","2","b c","3","a d",124,124,124,-1.106497610729,-0.00309645760858576,1.6700647339527,0.270653203359775,0.997534364261133,0.0974290188610921,0.0820497446358795
5,32,"between","39","2","b c","4","b d",124,124,124,7.03526620403044,-0.0105591664143497,-2.0822051725891,1.18802216782968e-10,0.991592130227587,0.0393798607269145,0.0246620159622122
5,32,"between","40","3","a d","4","b d",124,124,124,8.14176381475944,-0.00746270880576398,-0.412140438636396,3.51322426727974e-13,0.994057668039048,0.680948105350858,0.71380807271844
6,40,"between","41","5","a","6","b",156,156,156,-1.57476058576579,-1.2375601639021,-1.57476058576579,0.117337568859815,0.217738658697372,0.117337568859815,0.0131652678578443
6,40,"between","42","7","c","8","d",156,156,156,-0.229694598792501,1.53491881086023,-0.229694598792501,0.818629986798893,0.126829420342026,0.818629986798893,0.427525169402637
6,40,"between","43","1","a c","2","b c",156,156,156,2.77273917966121,-0.0947425371909154,-3.25054414988095,0.00623630288224907,0.924640914904793,0.00141123525689865,0.00184249708217423
6,40,"between","44","1","a c","3","a d",156,156,156,-5.53080778165225,1.86569614656066,-2.02756714299505,1.31446040656678e-07,0.0639616283348567,0.0443066661912286,0.0666004286102057
