"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,24,"within","1","5","a","6","b",68.9999999999999,68.9999999999996,68.9999999999999,0.0341232520317732,-0.46418790144324,0.0341232520317732,0.972877388482525,0.64397437697697,0.972877388482525,0.987839533326614
1,24,"within","2","7","c","8","d",68.9999999999999,68.9999999999996,68.9999999999999,-1.01369831188549,-1.04450515633651,-1.01369831188549,0.314268231290122,0.299897301368688,0.314268231290122,0.234459070598696
1,24,"within","3","1","a c","2","b c",68.9999999999999,68.9999999999996,68.9999999999999,0.854053734610033,0.0982241413125966,0.620508645379286,0.396030641987195,0.922039098340202,0.536967156473046,0.704756498336792
1,24,"within","4","1","a c","3","a d",68.9999999999999,68.9999999999996,68.9999999999999,0.56140595142198,-0.312122124862,-0.131261444214849,0.576339723944657,0.755888976648179,0.895950465815082,0.768296360969544
1,24,"within","5","1","a c","4","b d",68.9999999999999,68.9999999999996,68.9999999999999,0.376261435527497,-1.06680709188513,-0.51311291829441,0.707877026458179,0.289777459845383,0.609511323246707,0.197378396987915
1,24,"within","6","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-0.292647783188053,-0.410346266174596,0.751770089594135,0.770669623478537,0.682823368309851,0.454746043981271,0.725740790367127
1,24,"within","7","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,-0.477792299082536,-1.16503123319773,-1.1336215636737,0.634308229199645,0.248018295835435,0.260876745733218,0.207616567611695
1,24,"within","8","3","a d","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,-0.185144515894483,-0.754684967023132,-0.381851474079561,0.853658830578984,0.453006187152759,0.703745019052941,0.623094320297242
2,24,"within","9","5","a","6","b",68.9999999999999,68.9999999999999,68.9999999999999,-0.192309123434209,-0.23489359227373,-0.192309123434209,0.848064943335233,0.814987006729159,0.848064943335233,0.987839533326614
2,24,"within","10","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,0.131131617589303,0.314383832611065,0.131131617589303,0.896052780743612,0.75417816802447,0.896052780743612,0.858853016587048
