"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","Ms5","SDs5","M5","SD5","Num6","Str6","Ms6","SDs6","M6","SD6","Num7","Str7","Ms7","SDs7","M7","SD7","Num8","Str8","Ms8","SDs8","M8","SD8","Num9","Str9","Ms9","SDs9","M9","SD9","Num10","Str10","M10","SD10","Num11","Str11","M11","SD11","Num12","Str12","M12","SD12","Num13","Str13","M13","SD13","Num14","Str14","M14","SD14","Num15","Str15","M15","SD15"
1,0,0,40,1,"B",1,"a d",0,1,-0.508888891733664,4.98044807316825,2,"b d",0,1,0.43405448802647,2.97671660708063,3,"c d",0,1,-0.577585825585457,6.94133101326308,4,"a e",0,1,-5.39005943915607,33.4185148414425,5,"b e",0,1,-0.17559875377993,7.06698980110313,6,"c e",0,1,0.986081820712292,3.74999749750892,7,"a f",0,1,2.70412088841087,11.17527344243,8,"b f",0,1,117.17486951392,730.089756727394,9,"c f",0,1,0.717397171567277,10.2088875290815,10,"a",-1.06494248082629,20.6454519081716,11,"b",39.1444417493889,421.639822791744,12,"c",0.375297722231371,7.41795164825449,13,"d",-0.217473409764217,5.19989266262005,14,"e",-1.5265254574079,19.8680267987149,15,"f",40.1987958579661,421.609004569208
2,0,0,16,1,"B",1,"a d",0,1,0.481757679109222,4.82347818583987,2,"b d",0,1,0.648766575164298,11.1164705788862,3,"c d",0,1,0.967468810704365,4.93076201408773,4,"a e",0,1,-0.00823872978752094,2.67315429515886,5,"b e",0,1,-0.0666538432100558,3.06621246656134,6,"c e",0,1,-3.85190654467808,11.1456815578786,7,"a f",0,1,-1.12759494400398,5.93133435660005,8,"b f",0,1,2.05086873050926,5.93990077070627,9,"c f",0,1,-1.26533397961303,3.19007477450735,10,"a",-0.218025331560761,4.6256976958162,11,"b",0.877660487487834,7.38173220425921,12,"c",-1.38325723786225,7.39014999912104,13,"d",0.699331021659295,7.39358950979015,14,"e",-1.30893303922522,6.94481728245177,15,"f",-0.114020064369253,5.30401193484616
3,0,0,16,1,"B",1,"a d",0,1,0.0414158165485515,1.23677214286265,2,"b d",0,1,-2.06920182307123,6.93636921674261,3,"c d",0,1,0.0795975840315149,3.50826051928726,4,"a e",0,1,0.273837263687373,0.74324168729251,5,"b e",0,1,1.18644555121805,8.74633021768598,6,"c e",0,1,132.969573818628,532.372514574518,7,"a f",0,1,-1.11105844105629,3.06401189041499,8,"b f",0,1,-0.360049497487234,1.73526341116477,9,"c f",0,1,0.0222497902019469,1.96446789779586,10,"a",-0.265268453606788,2.0087762272091,11,"b",-0.41426858978014,6.52198281273812,12,"c",44.3571403976205,307.356673616459,13,"d",-0.649396140830389,4.56082473346136,14,"e",44.8099522111778,307.322018743716,15,"f",-0.482952716113858,2.32705757312911
4,0,0,24,1,"B",1,"a d",0,1,3.82432620922921,20.156021829173,2,"b d",0,1,10.2605978408771,32.6759560418977,3,"c d",0,1,0.860888640171564,9.21560276688743,4,"a e",0,1,-0.249862736771588,1.42821343223694,5,"b e",0,1,0.344119345754893,3.41351814687577,6,"c e",0,1,-0.403802716820702,2.46830850099376,7,"a f",0,1,1.80250715118988,7.74859554243408,8,"b f",0,1,0.795991948125171,6.6797895600846,9,"c f",0,1,-1.47838238488277,9.49738543116533,10,"a",1.79232354121584,12.4307342858996,11,"b",3.80023637825238,19.6292112544218,12,"c",-0.34043215384397,7.72217922930008,13,"d",4.98193756342595,22.8169203754843,14,"e",-0.103182035945799,2.55235177114543,15,"f",0.373372238144093,8.06435006925293
5,0,0,32,1,"B",1,"a d",0,1,0.873273898729463,5.68851724822445,2,"b d",0,1,-62.5916739202154,360.992419410346,3,"c d",0,1,0.702470078749552,5.27356238183197,4,"a e",0,1,-2.7857354468186,15.3305842804679,5,"b e",0,1,-0.554940699995148,3.7393110395215,6,"c e",0,1,-4.41965111284052,28.9211581903212,7,"a f",0,1,0.507940323387379,7.90435788006782,8,"b f",0,1,0.0547102368288409,2.76942985338517,9,"c f",0,1,0.451402121680582,3.76306563747588,10,"a",-0.468173741567253,10.5060184924088,11,"b",-21.0306347944606,208.336010389539,12,"c",-1.08859297080346,17.0954453843399,13,"d",-20.3386433142455,208.436342743183,14,"e",-2.58677575321809,18.8873664517287,15,"f",0.338017560632267,5.24905143834627
6,0,0,32,1,"B",1,"a d",0,1,2.82038885493975,19.7373464112489,2,"b d",0,1,-0.585095886393602,4.13180057319319,3,"c d",0,1,2.55596725243367,27.2829581016674,4,"a e",0,1,-0.942036654461689,6.64089685257133,5,"b e",0,1,-0.520179416539807,4.34030814751652,6,"c e",0,1,6.94352893692911,36.1796591221262,7,"a f",0,1,0.00839939732552475,3.29095134314093,8,"b f",0,1,0.788237360307463,21.9711013557039,9,"c f",0,1,19.5454929550315,99.8610387303332,10,"a",0.628917199267863,12.1500754739612,11,"b",-0.105679314208649,13.0247712642569,12,"c",9.68166304813141,63.0597352801907,13,"d",1.59708674032661,19.4423623198599,14,"e",1.82710428864254,21.4693208270614,15,"f",6.78070990422148,59.1403525403448
7,0,0,24,1,"B",1,"a d",0,1,-3.43298337460604,16.0633618005708,2,"b d",0,1,-9.81866752814117,45.4758076010346,3,"c d",0,1,-1.10285130557741,5.13881752625477,4,"a e",0,1,-0.0208364864373621,1.59044401616394,5,"b e",0,1,-8.37910571150607,72.3230786492156,6,"c e",0,1,0.975727120041946,3.77829071081972,7,"a f",0,1,0.896306239305128,3.40135342539366,8,"b f",0,1,5.22049981997263,22.0227980361341,9,"c f",0,1,-5.3519023121982,39.4795284275637,10,"a",-0.852504540579423,9.57462188955426,11,"b",-4.3257578065582,50.6757484106925,12,"c",-1.82634216591122,22.9155155727736,13,"d",-4.78483406944154,27.8538949869352,14,"e",-2.4747383593005,41.4453459328287,15,"f",0.254967915693186,26.1700435271449
8,0,0,16,1,"B",1,"a d",0,1,0.107069327848001,1.86507511983236,2,"b d",0,1,-0.435865893174289,3.71105826468441,3,"c d",0,1,-0.0264416150393923,2.99568314610978,4,"a e",0,1,0.347446463686091,3.14871050079381,5,"b e",0,1,0.146671553961413,3.17683774068041,6,"c e",0,1,4.80941324542883,10.6496545651901,7,"a f",0,1,-0.714589639838568,5.21282073266679,8,"b f",0,1,-3.28298859406485,11.4781693654211,9,"c f",0,1,-1.73472320486057,5.49153699557275,10,"a",-0.0866912827681585,3.62737859404494,11,"b",-1.19072764442591,7.20810048458857,12,"c",1.01608280850962,7.51860659886785,13,"d",-0.11841272678856,2.90241968041458,14,"e",1.76784375435878,6.87839237289055,15,"f",-1.91076714625466,7.84110817580145
9,0,0,32,1,"B",1,"a d",0,1,-5.1356470583354,18.9436671877179,2,"b d",0,1,1.22444209628445,3.01897693813307,3,"c d",0,1,-0.0373210078133314,4.72020116310807,4,"a e",0,1,0.673630751545152,10.0649735529483,5,"b e",0,1,-0.476800608466839,6.27931240299855,6,"c e",0,1,0.94220281498239,9.13589310742603,7,"a f",0,1,-1.05024657767058,9.78153480887368,8,"b f",0,1,0.0690027390922248,2.0171425429669,9,"c f",0,1,20.7985820689542,120.43606534396,10,"a",-1.83742096148694,13.6886007667367,11,"b",0.272214742303278,4.20436883673197,12,"c",7.23448795870777,69.7193566434977,13,"d",-1.3161753232881,11.6183533085526,14,"e",0.379677652686901,8.57567105120533,15,"f",6.6057794101253,69.7688922825722
10,0,0,8,1,"B",1,"a d",0,1,-0.134305812366787,1.8884720835559,2,"b d",0,1,1.97816308275446,6.65023042278684,3,"c d",0,1,0.451025146119984,1.23756597631863,4,"a e",0,1,-1.35669172831769,5.10363587023529,5,"b e",0,1,-0.768303826494128,3.70023083412252,6,"c e",0,1,-0.0734577229004099,0.570498050422422,7,"a f",0,1,-1.21220901891402,3.06404758688815,8,"b f",0,1,2.01182147174342,5.12779464924673,9,"c f",0,1,3.95274606662209,11.3986204119078,10,"a",-0.901068853199499,3.49005607523141,11,"b",1.07389357600125,5.23454114451506,12,"c",1.44343782994722,6.59103131437148,13,"d",0.764960805502554,3.9798240825012,14,"e",-0.732817759237408,3.53277693836267,15,"f",1.58411950648383,7.4255161785612
