"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,24,"within","1","5","a","6","b",68.9999999999999,69.0000000000002,68.9999999999999,0.297365828165069,-0.239425191688953,0.297365828165069,0.767080665480812,0.811485681681718,0.767080665480812,0.460568630318065
1,24,"within","2","7","c","8","d",68.9999999999999,69.0000000000002,68.9999999999999,-0.78939618795,-0.00704694634514361,-0.78939618795,0.432584751308271,0.994397731697675,0.432584751308271,0.741140901197469
1,24,"within","3","1","a c","2","b c",69.0000000000002,69.0000000000002,69.0000000000002,1.94748833340399,0.0419074109844198,0.939741078499152,0.0555464639297265,0.966693540390996,0.350628603104881,0.603311419487
1,24,"within","4","1","a c","3","a d",69.0000000000002,69.0000000000002,69.0000000000002,0.271499714040235,0.206223644067259,0.267030251813967,0.786817374208366,0.837223510101061,0.790242352058944,0.725740790367127
1,24,"within","5","1","a c","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,0.830162587161487,-0.174282120177457,-0.0975687458551032,0.40931000618785,0.862154096160688,0.922557610462354,0.966447234153748
1,24,"within","6","2","b c","3","a d",69.0000000000002,69.0000000000002,69.0000000000002,-1.67598861936376,0.164316233082839,0.672710826685185,0.0982663889506941,0.869962602544435,0.503378003853566,0.43893051147461
1,24,"within","7","2","b c","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,-1.1173257462425,-0.216189531161877,-1.03730982435426,0.267730519610984,0.829477874721459,0.303213082300458,0.43893051147461
1,24,"within","8","3","a d","4","b d",69.0000000000002,69.0000000000002,68.9999999999999,0.558662873121252,-0.380505764244716,-0.36459899766907,0.578200390149532,0.704738920917694,0.71652581634357,0.663443565368653
2,32,"within","9","5","a","6","b",93.0000000000004,92.9999999999992,93.0000000000004,-0.673119999280703,-1.46098253907307,-0.673119999280703,0.502540230066135,0.147390672066468,0.502540230066135,0.188814346259706
2,32,"within","10","7","c","8","d",93.0000000000004,92.9999999999992,93.0000000000004,0.20254595160539,0.447929966485612,0.20254595160539,0.83993238850353,0.655245468177163,0.83993238850353,0.705546473569417
2,32,"within","11","1","a c","2","b c",92.9999999999998,92.9999999999992,92.9999999999998,1.41841000723265,-2.17135814414556,-2.04100817711655,0.159413503915534,0.0324489908081458,0.0440839537270438,0.0324882394634187
2,32,"within","12","1","a c","3","a d",92.9999999999998,92.9999999999992,92.9999999999998,-2.00879532437922,-0.821553166773207,-0.743193194928309,0.0474584142784714,0.413432428557465,0.459238052938861,0.0908182007260621
2,32,"within","13","1","a c","4","b d",92.9999999999998,92.9999999999992,92.9999999999998,1.46668050486098,-0.71633634377507,-0.543529351514734,0.14583641624017,0.475578671541918,0.588065923051079,0.286517813336104
2,32,"within","14","2","b c","3","a d",92.9999999999998,92.9999999999992,92.9999999999992,-3.42720533161187,1.34980497737235,-1.29781498218824,0.000909957790957518,0.180354923615213,0.197560634218033,0.286517813336104
2,32,"within","15","2","b c","4","b d",92.9999999999998,92.9999999999992,92.9999999999992,0.0482704976283359,1.45502180037049,1.49747882560182,0.961604178648267,0.149030345064093,0.137655163316384,0.312668630387634
2,32,"within","16","3","a d","4","b d",92.9999999999998,92.9999999999992,92.9999999999998,3.4754758292402,0.105216822998137,0.199663843413575,0.000776669389863152,0.916430363879014,0.842179414687465,0.846459819935262
3,16,"within","17","5","a","6","b",45,45.0000000000001,45,0.117332221518207,-0.310479065505068,0.117332221518207,0.907118925060235,0.75763019300072,0.907118925060235,0.860930136404932
3,16,"within","18","7","c","8","d",45,45.0000000000001,45,1.73940029152809,0.64605662524304,1.73940029152809,0.088801308696709,0.521523930661776,0.088801308696709,0.0240015927702189
